genre,key
ninja,5.1
cantopop,4.44897959184
uk post-punk,4.10204081633
melodic death metal,6.02
deep swedish hip hop,5.4
country dawn,4.83673469388
bubblegum dance,5.52
show tunes,4.24489795918
post rock,3.92
dutch hip hop,5.89795918367
vallenato,4.42
shiver pop,5.46
italian hip hop,4.84
dutch pop,5.20408163265
post-disco,5.74
bebop,4.48
deep regional mexican,5.44
spanish pop rock,5.16326530612
modern classical,4.79545454545
swedish eurodance,5.36
contemporary post-bop,4.36
minimal techno,6.0
irish rock,4.04
dutch house,5.29787234043
turkish rock,5.30612244898
easy listening,4.64
swedish hip hop,5.58
danspunk,5.69387755102
australian pop,6.3
indonesian pop,4.76
canadian indie,4.32653061224
wrestling,4.65306122449
microhouse,6.40816326531
hip house,5.76
cumbia villera,6.26530612245
west coast trap,4.7
texas blues,5.4
celtic rock,5.8
broadway,5.02
pinoy alternative,5.7
french indietronica,5.94
blues,5.52
acid jazz,4.91304347826
anthem emo,5.22448979592
chillstep,4.42
movie tunes,4.08
tech house,5.88
uk funky,4.89795918367
norwegian indie,6.42857142857
progressive bluegrass,6.28
classic swedish pop,6.625
traditional blues,4.9
soul jazz,4.68
stoner rock,5.18
melodic hardcore,5.1
experimental rock,4.68
turntablism,4.98
norwegian pop,5.7
minimal dub,6.16326530612
fourth world,5.22448979592
electro,5.92
swing,4.2
latin christian,4.5
dreamo,5.36
indie jazz,5.66
rock gaucho,6.18
french rock,4.38775510204
post-hardcore,4.84
epicore,4.5625
azontobeats,5.38
zapstep,4.82
deep chiptune,5.54
sheffield indie,5.74
uplifting trance,4.84
noise rock,4.68085106383
progressive post-hardcore,5.9
hard bop,4.32
antiviral pop,5.65306122449
aussietronica,5.68
indie punk,5.32
death core,6.08333333333
electro latino,5.66
ambient,5.36734693878
reggae rock,5.96
country blues,5.68
anime,5.36
deep funk,4.78
new age,5.76
french reggae,6.66666666667
j-pop,4.62
groove room,5.08
lovers rock,5.22
deep melodic euro house,6.16
death metal,5.06
nu disco,4.59183673469
indie rockism,4.61224489796
electro swing,4.91836734694
country gospel,4.66
neo classical metal,4.98
mexican indie,5.81632653061
uk garage,5.10204081633
gothic metal,6.04
stride,4.34
industrial,5.48
canadian metal,5.22
future funk,5.82
christian uplift,4.84
brazilian gospel,5.25
german metal,5.52
swedish indie pop,5.76
gauze pop,5.6
turkish jazz,5.98
christian hip hop,4.61224489796
latin jazz,4.94
stoner metal,5.12
experimental,4.66666666667
ska,4.74
french indie pop,5.6875
deep ccm,6.0
merengue urbano,6.1
classic norwegian pop,5.63265306122
pub rock,4.1
memphis blues,5.14
ska punk,3.88
suomi rock,5.35416666667
afrobeats,5.08
hyphy,5.5306122449
liquid funk,5.64
swedish synthpop,4.96
chicago blues,5.36
drill,4.3
vaporwave,5.62
neue deutsche harte,5.88
louvor,5.34693877551
world,5.77551020408
dub,5.98
smooth jazz,6.54
drum and bass,6.1
memphis hip hop,5.46
j-rock,5.4
new orleans blues,4.7
new weird america,5.02083333333
german pop rock,4.4
old school hip hop,5.55102040816
relaxative,4.76
trova,4.62
big band,3.78
hardcore punk,5.14
stomp pop,4.6
bass music,4.42
flamenco,6.0
indonesian indie,4.12244897959
comedy,4.08
baroque,3.51724137931
viking metal,5.58
russelater,5.77551020408
djent,5.12765957447
mambo,5.64
acoustic blues,4.58
spanish indie pop,5.89795918367
swedish metal,6.3
delta blues,4.4
norwegian rock,6.38
deep texas country,5.26530612245
gospel,4.88
christian relaxative,5.4347826087
doo-wop,4.78
icelandic pop,4.54
latin metal,5.26
cowboy western,5.1
piedmont blues,5.3
deep swedish indie pop,5.25531914894
wonky,5.62
hardstyle,5.24
classical period,5.4
minimal tech house,5.73469387755
cumbia sonidera,5.1
operatic pop,5.64
meditation,3.82
pop house,5.66
dangdut,4.79591836735
turkish folk,5.44897959184
hands up,5.71428571429
deep disco house,5.30612244898
celtic,4.7
desi,4.98
shoegaze,5.08
tejano,4.74
boogaloo,5.4
argentine reggae,5.9
nwobhm,4.4
deep hardstyle,4.81632653061
dansband,4.97777777778
indian pop,5.1
danish pop rock,6.44897959184
japanese r&b,5.10204081633
electropowerpop,5.38
gothic symphonic metal,5.52
intelligent dance music,5.14
healing,4.54
sleep,5.76
finnish hip hop,4.34
desi hip hop,5.38775510204
schlager,5.18367346939
melbourne bounce,4.8
contemporary jazz,4.56
drone,5.5
symphonic metal,5.94
spanish punk,5.73469387755
filthstep,4.6
louisiana blues,4.8
children's music,4.51020408163
cubaton,5.42857142857
velha guarda,4.98
electroclash,5.69387755102
jangle pop,4.82
brazilian indie,5.89795918367
chicano rap,5.4693877551
spanish hip hop,4.97959183673
uk drill,4.78
folk punk,4.98
k-hop,4.62
retro electro,5.65306122449
alternative r&b,5.1
afrobeat,6.02
polish pop,4.91836734694
opera,5.1
british folk,4.20930232558
nu-cumbia,4.2
a cappella,7.04081632653
j-dance,4.89795918367
alternative pop rock,5.06
j-rap,5.69387755102
boston rock,4.46
future garage,4.9387755102
crossover thrash,5.7
mathcore,4.84
classic danish pop,5.83673469388
german indie,5.12
glitch,5.64
coverchill,5.02
jazz metal,5.02
environmental,5.02083333333
reading,3.89583333333
filmi,5.28
rumba,5.02083333333
azonto,5.4693877551
levenslied,6.18367346939
polynesian pop,4.86
glitch hop,5.91836734694
melodipop,5.72916666667
arabesk,5.24489795918
zolo,5.48
northern soul,4.88
underground rap,5.48
spanish new wave,6.16
vapor pop,4.04545454545
brazilian punk,5.66
piano blues,4.84
abstract hip hop,5.30612244898
deep turkish pop,5.2
christian dance,5.6
neoclassical,4.82
norwegian hip hop,5.98
liedermacher,5.56
discofox,5.64583333333
australian hip hop,5.02
folk metal,5.96
canadian country,6.34782608696
strut,5.29166666667
breakbeat,5.32
sludge metal,5.26
italo dance,5.61224489796
bluegrass,5.7
new tribe,5.46
neo-singer-songwriter,5.84
finnish metal,5.31914893617
danseband,5.65217391304
fluxwork,5.32653061224
hardcore techno,5.4
jump blues,5.42
welsh rock,5.24489795918
technical death metal,4.77551020408
german punk,4.51020408163
fingerstyle,5.51020408163
float house,5.32653061224
sleaze rock,4.56
australian country,4.88
deep uplifting trance,4.85714285714
alternative ccm,6.4375
folklore argentino,4.52
kiwi rock,4.3
alternative pop,5.14
grave wave,5.68
swamp blues,4.14
electro jazz,4.26
rock steady,6.04
slow game,4.78
j-metal,4.8
post-metal,5.30612244898
techno,5.64
no wave,5.44
russian pop,4.92
stomp and flutter,4.08
portland indie,5.67346938776
dutch rock,5.4693877551
doom metal,5.52
modern performance,5.14
pagan black metal,4.91666666667
black metal,5.76
jump up,4.92
pop flamenco,4.97959183673
hard alternative,4.68
christian metal,5.2
kirtan,4.9
neurofunk,5.26
polish hip hop,6.4693877551
drift,5.54
dark jazz,5.66
peruvian rock,4.66
deathgrind,5.16
italian indie pop,6.72
ectofolk,4.36
symphonic black metal,5.34
classic italian pop,5.78
turkish hip hop,4.91666666667
cuban rumba,5.54
brega,5.91836734694
deep norteno,4.85714285714
happy hardcore,4.82
carnaval,5.93617021277
belgian rock,5.1
chicago house,5.2
medieval rock,5.14285714286
irish folk,4.66666666667
jungle,5.06
chamame,5.06
scottish rock,5.62
rap chileno,5.94
classic chinese pop,4.82
dark wave,5.16
progressive uplifting trance,5.48888888889
orgcore,4.2
austindie,6.0
idol,4.86
chicago indie,4.88
medieval,5.36
avant-garde jazz,4.28
eurovision,4.81632653061
bay area indie,5.66
romantico,4.82
western swing,5.54
russian rock,5.22
japanese city pop,5.4
new orleans jazz,4.7
j-idol,5.26
italian disco,4.56
harmonica blues,4.78
arab pop,5.1
puerto rican rock,5.22448979592
dubstep,4.76
classic finnish pop,4.88888888889
malaysian pop,5.42857142857
outsider house,5.48
mexican rock-and-roll,5.94
portuguese rock,5.9387755102
post-doom metal,4.6
colombian rock,5.26
sertanejo tradicional,4.87755102041
brutal death metal,5.82
soul flow,5.52
salsa international,4.9387755102
seattle indie,4.1
avantgarde metal,4.5
hardcore,6.06
nasheed,4.0612244898
gbvfi,5.02
psychedelic doom,5.66
celtic punk,5.06
grindcore,5.44897959184
quebecois,4.96
austropop,5.6
brazilian ccm,5.55102040816
funky tech house,4.28
riddim,5.0612244898
