genre,danceability
flare.genre.traditional country,0.57862
flare.genre.glam rock,0.53708
flare.genre.alternative hip hop,0.6976
flare.genre.funk metal,0.57818
flare.genre.mariachi,0.55644
flare.genre.deep australian indie,0.57446
flare.genre.classify,0.38198
flare.genre.underground pop rap,0.65632
flare.genre.scorecore,0.314291666667
flare.genre.italian pop,0.58822
flare.genre.samba,0.64778
flare.genre.tracestep,0.58878
flare.genre.complextro,0.58728
flare.genre.deep pop edm,0.62486
flare.genre.downtempo,0.585591836735
flare.genre.trip hop,0.6066
flare.genre.grime,0.67682
flare.genre.british invasion,0.46578
flare.genre.speed metal,0.40306
flare.genre.channel pop,0.54734
flare.genre.classical,0.351533333333
flare.genre.catstep,0.59374
flare.genre.lilith,0.536183673469
flare.genre.bachata,0.77208
flare.genre.bossa nova,0.53274
flare.genre.deep house,0.6909
flare.genre.skate punk,0.46108
flare.genre.melancholia,0.41446
flare.genre.vapor twitch,0.60646
flare.genre.lift kit,0.565632653061
flare.genre.disco house,0.69844
flare.genre.symphonic rock,0.48406
flare.genre.comic,0.60988
flare.genre.pop emo,0.531212765957
flare.genre.anti-folk,0.54106
flare.genre.grunge,0.417177777778
flare.genre.duranguense,0.67978
flare.genre.australian dance,0.57172
flare.genre.traditional folk,0.5915
flare.genre.bubblegum pop,0.58498
flare.genre.otacore,0.49718
flare.genre.chillhop,0.665795918367
flare.genre.hoerspiel,0.648714285714
flare.genre.australian alternative rock,0.556
flare.genre.reggae fusion,0.73818
flare.genre.sertanejo,0.64854
flare.genre.la indie,0.62386
flare.genre.jazz,0.49218
flare.genre.rockabilly,0.58084
flare.genre.cumbia,0.68186
flare.genre.nueva cancion,0.6387
flare.genre.progressive rock,0.46954
flare.genre.texas country,0.55956
flare.genre.nu jazz,0.665142857143
flare.genre.video game music,0.345395348837
flare.genre.romantic,0.351533333333
flare.genre.roots reggae,0.79398
flare.genre.slow core,0.48558
flare.genre.swedish folk pop,0.5449
flare.genre.space rock,0.45438
flare.genre.madchester,0.51306
flare.genre.power metal,0.42314
flare.genre.progressive metal,0.4196
flare.genre.dancehall,0.732775510204
flare.genre.nu gaze,0.52912
flare.genre.alt-indie rock,0.45764
flare.genre.french pop,0.6344
flare.genre.world worship,0.41144
flare.genre.reggae,0.80526
flare.genre.deep trap,0.795734693878
flare.genre.opm,0.55676
flare.genre.alternative country,0.51986
flare.genre.deep danish pop,0.6536
flare.genre.mandopop,0.52698
flare.genre.spanish rock,0.602897959184
flare.genre.industrial metal,0.54926
flare.genre.deep southern trap,0.72468
flare.genre.forro,0.56102
flare.genre.sky room,0.6216
flare.genre.brazilian hip hop,0.72696
flare.genre.nashville sound,0.6139
flare.genre.indie garage rock,0.537714285714
flare.genre.taiwanese pop,0.52698
flare.genre.bolero,0.50858
flare.genre.thrash metal,0.41434
flare.genre.merseybeat,0.51082
flare.genre.danish pop,0.6381
flare.genre.lounge,0.49898
flare.genre.trance,0.53784
flare.genre.finnish dance pop,0.6630625
flare.genre.jam band,0.51034
flare.genre.deep latin hip hop,0.760428571429
flare.genre.chamber psych,0.511
flare.genre.jazz funk,0.6117
flare.genre.deep taiwanese pop,0.52638
flare.genre.turkish pop,0.6898
flare.genre.cool jazz,0.48664
flare.genre.post-punk,0.5577
flare.genre.salsa,0.65556
flare.genre.eurodance,0.70686
flare.genre.preverb,0.51848
flare.genre.brooklyn indie,0.57406122449
flare.genre.c-pop,0.52698
flare.genre.swedish alternative rock,0.54462
flare.genre.minimal,0.327592
flare.genre.german techno,0.637632653061
flare.genre.pixie,0.53206
flare.genre.chilean rock,0.63
flare.genre.deep cumbia sonidera,0.65042
flare.genre.candy pop,0.569693877551
flare.genre.filter house,0.68552
flare.genre.post-screamo,0.46498
flare.genre.punk blues,0.486
flare.genre.vocal house,0.712673469388
flare.genre.deep euro house,0.7675
flare.genre.deep new americana,0.55526
flare.genre.bow pop,0.437718
flare.genre.french hip hop,0.76036
flare.genre.alternative emo,0.48302
flare.genre.axe,0.640897959184
flare.genre.big beat,0.619959183673
flare.genre.cabaret,0.4334
flare.genre.finnish pop,0.606755102041
flare.genre.progressive trance,0.53334
flare.genre.chanson,0.56514
flare.genre.swedish indie rock,0.5476
flare.genre.industrial rock,0.55736
flare.genre.merengue,0.73706
flare.genre.etherpop,0.555571428571
flare.genre.garage psych,0.47732
flare.genre.jazz fusion,0.49808
flare.genre.power pop,0.56244
flare.genre.ninja,0.54542
flare.genre.cantopop,0.524448979592
flare.genre.uk post-punk,0.506183673469
flare.genre.melodic death metal,0.44276
flare.genre.deep swedish hip hop,0.6852
flare.genre.country dawn,0.569020408163
flare.genre.bubblegum dance,0.71772
flare.genre.show tunes,0.456183673469
flare.genre.post rock,0.339726
flare.genre.dutch hip hop,0.73093877551
flare.genre.vallenato,0.69664
flare.genre.shiver pop,0.57034
flare.genre.italian hip hop,0.6509
flare.genre.dutch pop,0.64087755102
flare.genre.post-disco,0.77798
flare.genre.bebop,0.4695
