genre,valence
chilean rock,0.64666
deep cumbia sonidera,0.79738
candy pop,0.567734693878
filter house,0.478898
post-screamo,0.348094
punk blues,0.4988
vocal house,0.50357755102
deep euro house,0.423482
deep new americana,0.457074
bow pop,0.32637
french hip hop,0.57962
alternative emo,0.49722
axe,0.717836734694
big beat,0.419436734694
cabaret,0.35367
finnish pop,0.534320408163
progressive trance,0.286014
chanson,0.53336
swedish indie rock,0.512
industrial rock,0.450652
merengue,0.82364
etherpop,0.330044897959
garage psych,0.51652
jazz fusion,0.27492
power pop,0.679312
ninja,0.262902
cantopop,0.292271428571
uk post-punk,0.642734693878
melodic death metal,0.295224
deep swedish hip hop,0.5803
country dawn,0.51356122449
bubblegum dance,0.75954
show tunes,0.400404081633
post rock,0.097962
dutch hip hop,0.524714285714
vallenato,0.81156
shiver pop,0.444968
italian hip hop,0.54072
dutch pop,0.477046938776
post-disco,0.83742
bebop,0.220454
deep regional mexican,0.8605
spanish pop rock,0.480142857143
modern classical,0.107079545455
swedish eurodance,0.57718
contemporary post-bop,0.233106
minimal techno,0.27852
irish rock,0.41756
dutch house,0.375270212766
turkish rock,0.548530612245
easy listening,0.456628
swedish hip hop,0.250204
danspunk,0.629244897959
australian pop,0.49826
indonesian pop,0.43692
canadian indie,0.50093877551
wrestling,0.454346938776
microhouse,0.324867346939
hip house,0.75042
cumbia villera,0.834367346939
west coast trap,0.512052
texas blues,0.59672
celtic rock,0.548976
broadway,0.47334
pinoy alternative,0.428188
french indietronica,0.386046
blues,0.64014
acid jazz,0.509797826087
anthem emo,0.463081632653
chillstep,0.23098
movie tunes,0.45619
tech house,0.355414
uk funky,0.429565306122
norwegian indie,0.411020408163
progressive bluegrass,0.41744
classic swedish pop,0.398264583333
traditional blues,0.66834
soul jazz,0.307306
stoner rock,0.4389
melodic hardcore,0.482254
experimental rock,0.480168
turntablism,0.62626
norwegian pop,0.40912
minimal dub,0.343485714286
fourth world,0.0885375
electro,0.515096
swing,0.35696
latin christian,0.269138
dreamo,0.365968
indie jazz,0.429278
rock gaucho,0.58186
french rock,0.525257142857
post-hardcore,0.38587
epicore,0.169960416667
azontobeats,0.7132
zapstep,0.325944
deep chiptune,0.450154
sheffield indie,0.562416
uplifting trance,0.251886
noise rock,0.484404255319
progressive post-hardcore,0.39934
hard bop,0.224376
antiviral pop,0.587775510204
aussietronica,0.330258
indie punk,0.376564
death core,0.25178125
electro latino,0.66086
ambient,0.0795395833333
reggae rock,0.65872
country blues,0.53148
anime,0.445624
deep funk,0.699856
new age,0.179556
french reggae,0.7406
j-pop,0.47762
groove room,0.415098
lovers rock,0.73688
deep melodic euro house,0.322806
death metal,0.224034
nu disco,0.479689795918
indie rockism,0.504959183673
electro swing,0.673448979592
country gospel,0.60458
neo classical metal,0.35588
mexican indie,0.612897959184
uk garage,0.526571428571
gothic metal,0.341364
stride,0.264204
industrial,0.412528
canadian metal,0.446124
future funk,0.464336
christian uplift,0.26322
brazilian gospel,0.249464583333
german metal,0.421494
swedish indie pop,0.425134
gauze pop,0.376494
turkish jazz,0.474334
christian hip hop,0.419489795918
latin jazz,0.720322
stoner metal,0.384584
experimental,0.461427083333
ska,0.74722
french indie pop,0.489341666667
deep ccm,0.188086
merengue urbano,0.7731
classic norwegian pop,0.459132653061
pub rock,0.671072
memphis blues,0.6901
ska punk,0.66998
suomi rock,0.4659125
afrobeats,0.71134
hyphy,0.562040816327
liquid funk,0.347388
swedish synthpop,0.438468
chicago blues,0.70664
drill,0.423382
vaporwave,0.42049
neue deutsche harte,0.443502
louvor,0.281540816327
world,0.746959183673
dub,0.751
smooth jazz,0.64032
drum and bass,0.310598
memphis hip hop,0.516072
j-rock,0.44054
new orleans blues,0.71916
new weird america,0.410941666667
german pop rock,0.492848
old school hip hop,0.688040816327
relaxative,0.180238
trova,0.49624
big band,0.4585
hardcore punk,0.50996
stomp pop,0.39737
bass music,0.354924
flamenco,0.700429787234
indonesian indie,0.431208163265
comedy,0.294178
baroque,0.490886206897
viking metal,0.32325
russelater,0.513716326531
djent,0.328659574468
mambo,0.80772
acoustic blues,0.64306
spanish indie pop,0.511326530612
swedish metal,0.338982
delta blues,0.62702
norwegian rock,0.361476
deep texas country,0.509244897959
gospel,0.298784
christian relaxative,0.233686956522
doo-wop,0.69094
icelandic pop,0.238536
latin metal,0.452122
cowboy western,0.6839
piedmont blues,0.54406
deep swedish indie pop,0.412995744681
wonky,0.403544
hardstyle,0.319324
classical period,0.17439
minimal tech house,0.396418367347
cumbia sonidera,0.81316
operatic pop,0.189972
meditation,0.03367875
pop house,0.61032
dangdut,0.392295918367
turkish folk,0.510336734694
hands up,0.488540816327
deep disco house,0.453332653061
celtic,0.223288
desi,0.6305
shoegaze,0.429056
tejano,0.67752
boogaloo,0.82246
argentine reggae,0.7316
nwobhm,0.37976
deep hardstyle,0.260391836735
dansband,0.802088888889
indian pop,0.62958
danish pop rock,0.498016326531
japanese r&b,0.553
electropowerpop,0.52872
gothic symphonic metal,0.352858
intelligent dance music,0.32839
healing,0.102774
sleep,0.019760625
finnish hip hop,0.53962
desi hip hop,0.626420408163
schlager,0.607428571429
melbourne bounce,0.45091
contemporary jazz,0.207586
drone,0.077352
symphonic metal,0.324544
spanish punk,0.475979591837
filthstep,0.310408
louisiana blues,0.64612
children's music,0.688897959184
cubaton,0.801714285714
velha guarda,0.59062
electroclash,0.503140816327
jangle pop,0.661212
brazilian indie,0.616224489796
chicano rap,0.465987755102
spanish hip hop,0.679
uk drill,0.50812
folk punk,0.60042
k-hop,0.526808
retro electro,0.314279591837
alternative r&b,0.438384
afrobeat,0.711676
polish pop,0.463036734694
opera,0.270995
british folk,0.498413953488
nu-cumbia,0.58008
a cappella,0.473775510204
j-dance,0.633040816327
alternative pop rock,0.508812
j-rap,0.527181632653
boston rock,0.489982
future garage,0.382559183673
crossover thrash,0.402794
mathcore,0.232034
classic danish pop,0.527395918367
german indie,0.50992
glitch,0.31039
coverchill,0.47147
jazz metal,0.359878
environmental,0.0294217948718
reading,0.537708333333
filmi,0.61012
rumba,0.559285416667
azonto,0.776204081633
levenslied,0.539636734694
polynesian pop,0.75176
glitch hop,0.325646938776
melodipop,0.431333333333
arabesk,0.597020408163
zolo,0.76114
northern soul,0.73914
underground rap,0.53668
spanish new wave,0.69736
vapor pop,0.313486363636
brazilian punk,0.45152
piano blues,0.64548
abstract hip hop,0.514918367347
deep turkish pop,0.61472
christian dance,0.600048
neoclassical,0.122306
norwegian hip hop,0.427296
liedermacher,0.59334
discofox,0.709722916667
australian hip hop,0.5441
folk metal,0.330152
canadian country,0.559630434783
strut,0.625916666667
breakbeat,0.319888
sludge metal,0.340132
italo dance,0.635102040816
bluegrass,0.5394
new tribe,0.361552
neo-singer-songwriter,0.323018
finnish metal,0.382474468085
danseband,0.650282608696
fluxwork,0.312469387755
hardcore techno,0.34527
jump blues,0.77436
welsh rock,0.40157755102
technical death metal,0.222191836735
german punk,0.534265306122
fingerstyle,0.298006122449
float house,0.419289795918
sleaze rock,0.4342
australian country,0.56168
deep uplifting trance,0.293742857143
alternative ccm,0.251235416667
folklore argentino,0.399312
kiwi rock,0.55484
alternative pop,0.55028
grave wave,0.379312
swamp blues,0.65304
electro jazz,0.578776
rock steady,0.79528
slow game,0.48431
j-metal,0.43198
post-metal,0.17587755102
techno,0.337924
no wave,0.591278
russian pop,0.480782
stomp and flutter,0.315954
portland indie,0.504163265306
dutch rock,0.45763877551
doom metal,0.360578
modern performance,0.090274
pagan black metal,0.165979166667
black metal,0.17568
jump up,0.279612
pop flamenco,0.695469387755
hard alternative,0.466456
christian metal,0.25438
kirtan,0.176778
neurofunk,0.238778
polish hip hop,0.487248979592
drift,0.068132
dark jazz,0.238172
peruvian rock,0.72344
deathgrind,0.203764
italian indie pop,0.701168
ectofolk,0.430586
symphonic black metal,0.189646
classic italian pop,0.464136
turkish hip hop,0.536604166667
cuban rumba,0.8076
brega,0.634346938776
deep norteno,0.774775510204
happy hardcore,0.437176
carnaval,0.695212765957
belgian rock,0.438492
chicago house,0.43126
medieval rock,0.46222244898
irish folk,0.596
jungle,0.334882
chamame,0.72692
scottish rock,0.508556
rap chileno,0.71488
classic chinese pop,0.324226
dark wave,0.483778
progressive uplifting trance,0.183335555556
orgcore,0.565111111111
austindie,0.52304
idol,0.47806
chicago indie,0.54736
medieval,0.256176
avant-garde jazz,0.33516
eurovision,0.45012244898
bay area indie,0.54306
romantico,0.352942
western swing,0.68178
russian rock,0.483222
japanese city pop,0.541746
new orleans jazz,0.57878
j-idol,0.67846
italian disco,0.7352
harmonica blues,0.7097
arab pop,0.62992
puerto rican rock,0.677408163265
dubstep,0.381402
classic finnish pop,0.710044444444
malaysian pop,0.441448979592
outsider house,0.319994
mexican rock-and-roll,0.5622
portuguese rock,0.445051020408
post-doom metal,0.20546
colombian rock,0.603608
sertanejo tradicional,0.568816326531
brutal death metal,0.245398
soul flow,0.495662
salsa international,0.820836734694
seattle indie,0.365356
avantgarde metal,0.192834
hardcore,0.4345
nasheed,0.533448979592
gbvfi,0.53716
psychedelic doom,0.340894
celtic punk,0.557554
grindcore,0.247528571429
quebecois,0.487066
austropop,0.62616
brazilian ccm,0.35473877551
funky tech house,0.46928
riddim,0.560591836735
psychedelic trance,0.327998
speed garage,0.554785416667
baile funk,0.774693877551
classic russian rock,0.496185714286
freestyle,0.719744680851
j-poprock,0.55498
italian pop rock,0.443930612245
ebm,0.430506
math pop,0.408856
barnmusik,0.59187755102
spanish noise pop,0.486645833333
warm drone,0.0755326530612
soca,0.75196
nursery,0.549952
ethereal wave,0.203258
nintendocore,0.348096
african gospel,0.424656
garage pop,0.54034
world meditation,0.068106
destroy techno,0.386598
balearic,0.659346938776
progressive deathcore,0.220312
math rock,0.41725625
laiko,0.70476
acid house,0.381128571429
albuquerque indie,0.57918
mande pop,0.58494
polish punk,0.65829375
russiavision,0.54398
deep latin christian,0.33466
indie dream pop,0.35955
kindermusik,0.759772727273
emo punk,0.446512195122
entehno,0.63404
bassline,0.489422
k-indie,0.453028
classic finnish rock,0.49963125
substep,0.216806
electrofox,0.468074
drill and bass,0.355393877551
turbo folk,0.643706122449
british alternative rock,0.4651
ambeat,0.575766
ska revival,0.860714285714
deep minimal techno,0.308015555556
bmore,0.433387755102
british indie rock,0.521682
canterbury scene,0.411156
musica para ninos,0.6701
romanian pop,0.5867
chill lounge,0.429769387755
rock catala,0.66970212766
free jazz,0.363486
argentine indie,0.566918367347
deep comedy,0.4034
twee pop,0.51916
classic garage rock,0.688632653061
volksmusik,0.664652173913
post-post-hardcore,0.313846
electro-industrial,0.443386
gypsy jazz,0.638288
oi,0.543898
latin electronica,0.515316
straight edge,0.40972
christian hardcore,0.317968
kabarett,0.611468085106
kraut rock,0.210662
steampunk,0.5644
singaporean pop,0.357857142857
swedish hard rock,0.440265306122
world fusion,0.387554
slovak pop,0.51393877551
dansktop,0.577020408163
surf music,0.670046
thai idol,0.52622
gabba,0.315316666667
gothic rock,0.501081632653
chaotic hardcore,0.327244
nu age,0.119814
bhangra,0.627768
canzone napoletana,0.391546
retro metal,0.370730612245
cello,0.260846
mandible,0.182696
ballroom,0.353018
ye ye,0.67528
tango,0.402081632653
swedish jazz,0.327124489796
dixieland,0.53098
old-time,0.672354166667
laboratorio,0.287802040816
mashup,0.523889795918
christelijk,0.264102173913
freakbeat,0.582482
punjabi,0.6806
alternative roots rock,0.30746
futurepop,0.443214
vancouver indie,0.481132
christian punk,0.584672
choro,0.60124
african rock,0.424622
deep talent show,0.44308
e6fi,0.458814
drone metal,0.185132653061
nordic house,0.386334693878
electro bailando,0.72072
early music,0.273492
psychobilly,0.61928
hawaiian,0.564694
horror punk,0.39478
andean,0.526824
russian hip hop,0.460369387755
detroit techno,0.40952244898
progressive psytrance,0.235089795918
comedy rock,0.583673469388
thai pop,0.4897
psychill,0.29317755102
orchestral,0.177076
tribal house,0.492429166667
atmospheric black metal,0.180284
progressive trance house,0.300354166667
deep indian pop,0.603551020408
jazz trio,0.37
classical performance,0.174096
persian pop,0.71502
fado,0.3776
classical piano,0.131847619048
uk hip hop,0.588569387755
voidgaze,0.138626
danish hip hop,0.602312244898
zouk riddim,0.65154
israeli rock,0.630462
czech rock,0.617816326531
swedish reggae,0.698404255319
exotica,0.553244
praise,0.33306
theme,0.303062
hungarian rock,0.5857
athens indie,0.492396
neo-trad metal,0.317356
dub techno,0.288693877551
norwegian metal,0.247991836735
venezuelan rock,0.678244
choral,0.0837956521739
aggrotech,0.48243
neo-progressive,0.331232653061
turkish alternative,0.435133333333
hungarian pop,0.600704545455
classic colombian pop,0.82484
kizomba,0.59014
avant-garde,0.120958
columbus ohio indie,0.435626530612
czech folk,0.585510638298
anime score,0.14527
visual kei,0.48814
mizrahi,0.67974
barnemusikk,0.511606
abstract beats,0.530704081633
italian metal,0.370576
popgaze,0.518
indian folk,0.5943
deep latin alternative,0.522639583333
power-pop punk,0.63118
ok indie,0.46
deep chill,0.437789583333
classic turkish pop,0.616
french movie tunes,0.409542857143
bubble trance,0.423734693878
goregrind,0.237042857143
j-indie,0.59978
vintage italian soundtrack,0.128816
melodic hard rock,0.432352
deep tech house,0.4462875
dark cabaret,0.501182
shibuya-kei,0.561672916667
deep pop punk,0.5493125
folkmusik,0.384733333333
power blues-rock,0.67108
rai,0.644204081633
p funk,0.71667
swedish punk,0.491108695652
russian punk,0.614976
spanish reggae,0.71908
black thrash,0.292718
fidget house,0.416814285714
shimmer psych,0.432992
musica nativista,0.801023809524
albanian pop,0.59018
horrorcore,0.426688
basque rock,0.545334042553
violin,0.164977272727
nu skool breaks,0.440296
melodic power metal,0.42584
turkish classical,0.372448979592
highlife,0.76022
belly dance,0.60095
string quartet,0.447864
classic belgian pop,0.505065306122
indie psych-pop,0.398283673469
southern gospel,0.297867346939
chiptune,0.450286
soukous,0.78016
lds,0.196983673469
instrumental post rock,0.0790673469388
irish country,0.575653061224
brass band,0.63084
classic polish pop,0.521417021277
bouncy house,0.457836
vintage swedish pop,0.629170212766
timba,0.84434
classic peruvian pop,0.803489795918
renaissance,0.197458
acid techno,0.432396
norwegian gospel,0.293772
yugoslav rock,0.680285714286
dominican pop,0.6245
classic icelandic pop,0.425331914894
arab folk,0.418158333333
southern soul blues,0.74898
perth indie,0.585822
