genre,loudness
bolero,-9.5806
thrash metal,-5.74666
merseybeat,-9.42254
danish pop,-7.37164
lounge,-10.49036
trance,-8.6239
finnish dance pop,-5.72725
jam band,-7.75784
deep latin hip hop,-5.54932653061
chamber psych,-8.76398
jazz funk,-11.79198
deep taiwanese pop,-7.905
turkish pop,-5.6847
cool jazz,-17.93156
post-punk,-9.19562
salsa,-5.67296
eurodance,-7.47246
preverb,-7.77416
brooklyn indie,-6.4286122449
c-pop,-7.8356
swedish alternative rock,-5.03796
minimal,-24.83604
german techno,-5.71316326531
pixie,-4.5338
chilean rock,-7.439
deep cumbia sonidera,-6.71298
candy pop,-4.63797959184
filter house,-7.51044
post-screamo,-4.11222
punk blues,-5.54528
vocal house,-6.09395918367
deep euro house,-8.21936
deep new americana,-9.89144
bow pop,-10.55948
french hip hop,-5.43224
alternative emo,-5.92604
axe,-7.02008163265
big beat,-7.73628571429
cabaret,-14.5328
finnish pop,-6.3962244898
progressive trance,-9.26978
chanson,-9.75806
swedish indie rock,-7.019
industrial rock,-6.36136
merengue,-6.21326
etherpop,-6.57373469388
garage psych,-6.73682
jazz fusion,-17.49814
power pop,-8.6501
ninja,-7.41262
cantopop,-8.30865306122
uk post-punk,-8.82232653061
melodic death metal,-4.5774
deep swedish hip hop,-6.2566
country dawn,-5.81226530612
bubblegum dance,-6.58178
show tunes,-11.0254897959
post rock,-14.83588
dutch hip hop,-6.8557755102
vallenato,-5.64856
shiver pop,-7.98564
italian hip hop,-6.27652
dutch pop,-8.38116326531
post-disco,-8.85808
bebop,-17.92022
deep regional mexican,-4.89768
spanish pop rock,-5.83642857143
modern classical,-25.4077272727
swedish eurodance,-4.83254
contemporary post-bop,-17.95174
minimal techno,-9.85406
irish rock,-7.98634
dutch house,-4.49534042553
turkish rock,-6.51373469388
easy listening,-11.55804
swedish hip hop,-7.71986
danspunk,-5.22355102041
australian pop,-7.59172
indonesian pop,-8.19834
canadian indie,-7.02524489796
wrestling,-5.54483673469
microhouse,-11.096
hip house,-9.13066
cumbia villera,-5.43359183673
west coast trap,-6.76552
texas blues,-10.53802
celtic rock,-5.71746
broadway,-8.93388
pinoy alternative,-9.60892
french indietronica,-8.77596
blues,-10.87808
acid jazz,-9.18497826087
anthem emo,-5.91002040816
chillstep,-7.64868
movie tunes,-12.92854
tech house,-8.70786
uk funky,-5.47828571429
norwegian indie,-7.47304081633
progressive bluegrass,-9.33796
classic swedish pop,-9.51841666667
traditional blues,-11.25142
soul jazz,-16.37594
stoner rock,-8.0455
melodic hardcore,-4.92254
experimental rock,-8.9715
turntablism,-8.70236
norwegian pop,-6.36322
minimal dub,-8.44416326531
fourth world,-26.4379591837
electro,-7.1435
swing,-15.39046
latin christian,-6.53294
dreamo,-6.85606
indie jazz,-10.88018
rock gaucho,-7.7914
french rock,-9.15924489796
post-hardcore,-5.637
epicore,-9.96233333333
azontobeats,-5.6726
zapstep,-3.58552
deep chiptune,-10.44704
sheffield indie,-6.35946
uplifting trance,-10.36262
noise rock,-6.83061702128
progressive post-hardcore,-4.924
hard bop,-18.18362
antiviral pop,-5.71632653061
aussietronica,-6.86648
indie punk,-5.82926
death core,-4.0558125
electro latino,-4.9513
ambient,-24.8696326531
reggae rock,-6.34878
country blues,-10.82486
anime,-4.55868
deep funk,-8.64666
new age,-18.1604
french reggae,-6.83217777778
j-pop,-4.00708
groove room,-7.09498
lovers rock,-8.68126
deep melodic euro house,-10.4928
death metal,-5.17874
nu disco,-6.98657142857
indie rockism,-4.97075510204
electro swing,-6.28591836735
country gospel,-11.75294
neo classical metal,-5.6999
mexican indie,-6.02971428571
uk garage,-6.40726530612
gothic metal,-4.94986
stride,-17.32586
industrial,-7.26252
canadian metal,-4.94604
future funk,-12.22284
christian uplift,-8.37288
brazilian gospel,-6.8150625
german metal,-6.88986
swedish indie pop,-7.49906
gauze pop,-8.34092
turkish jazz,-9.15738
christian hip hop,-6.08446938776
latin jazz,-10.17194
stoner metal,-5.5427
experimental,-9.74495833333
ska,-6.50946
french indie pop,-8.7513125
deep ccm,-8.1942
merengue urbano,-5.44476
classic norwegian pop,-7.33069387755
pub rock,-8.97886
memphis blues,-10.857
ska punk,-5.39512
suomi rock,-5.9383125
afrobeats,-5.63424
hyphy,-7.01548979592
liquid funk,-5.06012
swedish synthpop,-5.85184
chicago blues,-11.28654
drill,-6.07696
vaporwave,-10.01512
neue deutsche harte,-5.4864
louvor,-7.91644897959
world,-9.89597959184
dub,-9.3844
smooth jazz,-9.5673
drum and bass,-4.437
memphis hip hop,-6.29374
j-rock,-3.55806
new orleans blues,-10.34672
new weird america,-9.25027083333
german pop rock,-6.58152
old school hip hop,-9.35551020408
relaxative,-21.23404
trova,-10.07788
big band,-15.2062
hardcore punk,-4.4732
stomp pop,-6.17556
bass music,-8.76512
flamenco,-9.83319148936
indonesian indie,-8.18767346939
comedy,-7.17702
baroque,-18.5549310345
viking metal,-4.79892
russelater,-5.96083673469
djent,-5.57189361702
mambo,-7.27074
acoustic blues,-12.80244
spanish indie pop,-7.44565306122
swedish metal,-4.65402
delta blues,-12.62584
norwegian rock,-8.49286
deep texas country,-6.04640816327
gospel,-6.61972
christian relaxative,-12.9407826087
doo-wop,-10.36442
icelandic pop,-11.19112
latin metal,-5.42538
cowboy western,-13.5142
piedmont blues,-12.18954
deep swedish indie pop,-8.2980212766
wonky,-8.42354
hardstyle,-4.20196
classical period,-25.0106
minimal tech house,-9.51073469388
cumbia sonidera,-6.9825
operatic pop,-10.41872
meditation,-23.47788
pop house,-4.57034
dangdut,-6.80142857143
turkish folk,-8.37942857143
hands up,-5.58440816327
deep disco house,-9.24018367347
celtic,-16.2183
desi,-5.22734
shoegaze,-9.85016
tejano,-8.08954
boogaloo,-7.09982
argentine reggae,-6.9632
nwobhm,-6.32158
deep hardstyle,-4.30867346939
dansband,-6.14666666667
indian pop,-5.17854
danish pop rock,-7.70271428571
japanese r&b,-4.19730612245
electropowerpop,-3.91054
gothic symphonic metal,-4.79808
intelligent dance music,-10.13232
healing,-21.82632
sleep,-23.06604
finnish hip hop,-7.25428
desi hip hop,-5.35916326531
schlager,-7.8873877551
melbourne bounce,-4.56914
contemporary jazz,-15.80164
drone,-23.75742
symphonic metal,-5.05274
spanish punk,-5.74532653061
filthstep,-4.14826
louisiana blues,-11.35088
children's music,-6.22365306122
cubaton,-4.83663265306
velha guarda,-12.59444
electroclash,-6.528
jangle pop,-8.74864
brazilian indie,-8.95148979592
chicano rap,-6.70665306122
spanish hip hop,-6.70279591837
uk drill,-7.01802
folk punk,-7.04294
k-hop,-4.24772
retro electro,-7.36206122449
alternative r&b,-7.18782
afrobeat,-8.64596
polish pop,-7.14728571429
opera,-11.1553
british folk,-12.702627907
nu-cumbia,-9.83684
a cappella,-8.69783673469
j-dance,-4.75044897959
alternative pop rock,-5.1788
j-rap,-5.22181632653
boston rock,-7.43248
future garage,-9.18183673469
crossover thrash,-7.44474
mathcore,-4.97212
classic danish pop,-7.98267346939
german indie,-8.09472
glitch,-7.1863
coverchill,-11.51184
jazz metal,-6.1372
environmental,-21.9099583333
reading,-20.6176875
filmi,-6.00808
rumba,-14.4786666667
azonto,-5.06183673469
levenslied,-7.01789795918
polynesian pop,-6.81288
glitch hop,-5.049
melodipop,-6.50545833333
arabesk,-5.88126530612
zolo,-8.99444
northern soul,-9.1832
underground rap,-6.57692
spanish new wave,-7.9397
vapor pop,-7.90793181818
brazilian punk,-6.82284
piano blues,-11.81434
abstract hip hop,-7.21140816327
deep turkish pop,-5.3992
christian dance,-5.10546
neoclassical,-20.48444
norwegian hip hop,-9.07324
liedermacher,-7.43876
discofox,-4.11564583333
australian hip hop,-6.34946
folk metal,-5.20434
canadian country,-6.29497826087
strut,-5.80772916667
breakbeat,-3.80902
sludge metal,-6.00254
italo dance,-7.59632653061
bluegrass,-9.85442
new tribe,-12.3749
neo-singer-songwriter,-8.4484
finnish metal,-5.55895744681
danseband,-6.29065217391
fluxwork,-11.5898571429
hardcore techno,-5.42376
jump blues,-10.09556
welsh rock,-5.46802040816
technical death metal,-4.70914285714
german punk,-4.51459183673
fingerstyle,-13.8238979592
float house,-9.79720408163
sleaze rock,-7.04578
australian country,-6.40136
deep uplifting trance,-8.13087755102
