genre,liveness
chilean rock,0.211294
deep cumbia sonidera,0.148652
candy pop,0.195167346939
filter house,0.206074
post-screamo,0.248526
punk blues,0.18171
vocal house,0.172971428571
deep euro house,0.155838
deep new americana,0.173146
bow pop,0.164506
french hip hop,0.125394
alternative emo,0.161512
axe,0.355085714286
big beat,0.24643877551
cabaret,0.186774
finnish pop,0.140395918367
progressive trance,0.271616
chanson,0.160794
swedish indie rock,0.182202
industrial rock,0.209392
merengue,0.183998
etherpop,0.168932653061
garage psych,0.164692
jazz fusion,0.137698
power pop,0.185296
ninja,0.223688
cantopop,0.12432244898
uk post-punk,0.202795918367
melodic death metal,0.237404
deep swedish hip hop,0.210266
country dawn,0.174028571429
bubblegum dance,0.223964
show tunes,0.188548979592
post rock,0.136828
dutch hip hop,0.157865306122
vallenato,0.175752
shiver pop,0.20703
italian hip hop,0.14593
dutch pop,0.121657142857
post-disco,0.143136
bebop,0.143532
deep regional mexican,0.15623
spanish pop rock,0.224646938776
modern classical,0.117120454545
swedish eurodance,0.215654
contemporary post-bop,0.14104
minimal techno,0.148712
irish rock,0.181326
dutch house,0.249985106383
turkish rock,0.194446938776
easy listening,0.187234
swedish hip hop,0.168834
danspunk,0.222793877551
australian pop,0.168548
indonesian pop,0.14066
canadian indie,0.241285714286
wrestling,0.173924489796
microhouse,0.147108163265
hip house,0.149902
cumbia villera,0.169448979592
west coast trap,0.186314
texas blues,0.17977
celtic rock,0.18137
broadway,0.192914
pinoy alternative,0.149842
french indietronica,0.162524
blues,0.18577
acid jazz,0.169941304348
anthem emo,0.180732653061
chillstep,0.17844
movie tunes,0.226456
tech house,0.158676
uk funky,0.212465306122
norwegian indie,0.181551020408
progressive bluegrass,0.141658
classic swedish pop,0.18345
traditional blues,0.18824
soul jazz,0.14487
stoner rock,0.205934
melodic hardcore,0.226956
experimental rock,0.217284
turntablism,0.189126
norwegian pop,0.193224
minimal dub,0.158971428571
fourth world,0.107251020408
electro,0.24576
swing,0.151374
latin christian,0.41763
dreamo,0.178688
indie jazz,0.167466
rock gaucho,0.231364
french rock,0.198030612245
post-hardcore,0.218956
epicore,0.12179375
azontobeats,0.118958
zapstep,0.226302
deep chiptune,0.1673
sheffield indie,0.197534
uplifting trance,0.275624
noise rock,0.228563829787
progressive post-hardcore,0.202064
hard bop,0.146648
antiviral pop,0.192065306122
aussietronica,0.128312
indie punk,0.166764
death core,0.269952083333
electro latino,0.212728
ambient,0.104910204082
reggae rock,0.172976
country blues,0.148212
anime,0.208722
deep funk,0.227278
new age,0.144292
french reggae,0.1732
j-pop,0.24513
groove room,0.156926
lovers rock,0.127574
deep melodic euro house,0.147958
death metal,0.197012
nu disco,0.182563265306
indie rockism,0.173526530612
electro swing,0.168646938776
country gospel,0.15924
neo classical metal,0.213736
mexican indie,0.184806122449
uk garage,0.172212244898
gothic metal,0.195732
stride,0.150756
industrial,0.244564
