id, value
deep cumbia sonidera,0.65042
candy pop,0.569693877551
filter house,0.68552
post-screamo,0.46498
punk blues,0.486
vocal house,0.712673469388
deep euro house,0.7675
deep new americana,0.55526
bow pop,0.437718
french hip hop,0.76036
alternative emo,0.48302
axe,0.640897959184
big beat,0.619959183673
cabaret,0.4334
finnish pop,0.606755102041
progressive trance,0.53334
chanson,0.56514
swedish indie rock,0.5476
industrial rock,0.55736
merengue,0.73706
etherpop,0.555571428571
garage psych,0.47732
jazz fusion,0.49808
power pop,0.56244
ninja,0.54542
cantopop,0.524448979592
uk post-punk,0.506183673469
melodic death metal,0.44276
deep swedish hip hop,0.6852
country dawn,0.569020408163
bubblegum dance,0.71772
show tunes,0.456183673469
post rock,0.339726
dutch hip hop,0.73093877551
vallenato,0.69664
shiver pop,0.57034
italian hip hop,0.6509
dutch pop,0.64087755102
post-disco,0.77798
bebop,0.4695
deep regional mexican,0.74158
spanish pop rock,0.594285714286
modern classical,0.286170454545
swedish eurodance,0.68484
contemporary post-bop,0.48258
minimal techno,0.71958
irish rock,0.4935
dutch house,0.642553191489
turkish rock,0.628
easy listening,0.486
swedish hip hop,0.60126
danspunk,0.563244897959
australian pop,0.60142
indonesian pop,0.55376
canadian indie,0.559204081633
wrestling,0.503040816327
microhouse,0.629795918367
hip house,0.78862
cumbia villera,0.720142857143
west coast trap,0.73912
texas blues,0.53976
celtic rock,0.50654
broadway,0.56566
pinoy alternative,0.57926
french indietronica,0.68016
blues,0.57858
acid jazz,0.660956521739
anthem emo,0.497755102041
chillstep,0.51694
movie tunes,0.4498
tech house,0.7393
uk funky,0.65712244898
norwegian indie,0.578265306122
progressive bluegrass,0.53982
classic swedish pop,0.523395833333
traditional blues,0.61324
soul jazz,0.49574
stoner rock,0.3884
melodic hardcore,0.4422
experimental rock,0.4708
turntablism,0.7354
norwegian pop,0.55518
minimal dub,0.66412244898
fourth world,0.22728125
electro,0.70178
swing,0.49236
latin christian,0.50588
dreamo,0.43554
indie jazz,0.58086
rock gaucho,0.55886
french rock,0.627040816327
post-hardcore,0.42702
epicore,0.340677083333
azontobeats,0.76124
zapstep,0.57808
deep chiptune,0.50496
sheffield indie,0.4746
uplifting trance,0.53468
noise rock,0.478787234043
progressive post-hardcore,0.41706
hard bop,0.48098
antiviral pop,0.585918367347
aussietronica,0.57396
indie punk,0.42414
death core,0.432083333333
electro latino,0.73404
ambient,0.20785625
reggae rock,0.73016
country blues,0.57664
anime,0.4645
deep funk,0.67196
new age,0.327968
french reggae,0.757088888889
j-pop,0.56572
groove room,0.73844
lovers rock,0.79162
deep melodic euro house,0.76088
death metal,0.3582
nu disco,0.686265306122
indie rockism,0.559306122449
electro swing,0.748530612245
country gospel,0.626
neo classical metal,0.41154
mexican indie,0.597346938776
uk garage,0.700428571429
gothic metal,0.4562
stride,0.47854
industrial,0.55362
canadian metal,0.4668
future funk,0.64426
christian uplift,0.45094
brazilian gospel,0.434291666667
german metal,0.511
swedish indie pop,0.56002
gauze pop,0.59596
turkish jazz,0.57014
christian hip hop,0.70493877551
latin jazz,0.61766
stoner metal,0.37844
experimental,0.452958333333
ska,0.57876
french indie pop,0.670604166667
deep ccm,0.42928
merengue urbano,0.77248
classic norwegian pop,0.560204081633
pub rock,0.53972
memphis blues,0.64116
ska punk,0.47362
suomi rock,0.4634375
afrobeats,0.77102
hyphy,0.787224489796
liquid funk,0.54948
swedish synthpop,0.64956
chicago blues,0.6244
drill,0.688
vaporwave,0.56414
neue deutsche harte,0.56564
louvor,0.407897959184
world,0.611163265306
dub,0.78556
smooth jazz,0.68242
drum and bass,0.5179
memphis hip hop,0.81348
j-rock,0.43526
new orleans blues,0.64906
new weird america,0.521854166667
german pop rock,0.6189
old school hip hop,0.818612244898
relaxative,0.39138
trova,0.57802
big band,0.52162
hardcore punk,0.35624
stomp pop,0.53498
bass music,0.58162
flamenco,0.578404255319
indonesian indie,0.582979591837
comedy,0.53144
baroque,0.357310344828
viking metal,0.39318
russelater,0.701489795918
djent,0.459510638298
mambo,0.66056
acoustic blues,0.60104
spanish indie pop,0.578183673469
swedish metal,0.45632
delta blues,0.5802
norwegian rock,0.46228
deep texas country,0.550428571429
gospel,0.43118
christian relaxative,0.462739130435
doo-wop,0.53142
icelandic pop,0.431336
latin metal,0.4811
cowboy western,0.63612
piedmont blues,0.56452
deep swedish indie pop,0.533510638298
wonky,0.58412
hardstyle,0.52986
classical period,0.2964
minimal tech house,0.767673469388
cumbia sonidera,0.69452
operatic pop,0.30244
meditation,0.14106875
pop house,0.69006
dangdut,0.544
turkish folk,0.552326530612
hands up,0.655285714286
deep disco house,0.792326530612
celtic,0.37422
desi,0.67766
shoegaze,0.43132
tejano,0.63582
boogaloo,0.66112
argentine reggae,0.74498
nwobhm,0.32236
deep hardstyle,0.486020408163
dansband,0.590155555556
indian pop,0.6785
danish pop rock,0.586918367347
japanese r&b,0.592244897959
electropowerpop,0.57768
gothic symphonic metal,0.46724
intelligent dance music,0.55758
healing,0.220106
sleep,0.134353125
finnish hip hop,0.6735
desi hip hop,0.67187755102
schlager,0.552714285714
melbourne bounce,0.74
contemporary jazz,0.44166
drone,0.194384
symphonic metal,0.43284
spanish punk,0.479408163265
filthstep,0.61792
louisiana blues,0.6282
children's music,0.691591836735
cubaton,0.747040816327
velha guarda,0.57256
electroclash,0.662734693878
jangle pop,0.55754
brazilian indie,0.640469387755
chicano rap,0.758183673469
spanish hip hop,0.687591836735
uk drill,0.66866
folk punk,0.50774
k-hop,0.70674
retro electro,0.525285714286
alternative r&b,0.58576
afrobeat,0.62778
polish pop,0.612510204082
opera,0.287225
british folk,0.529325581395
nu-cumbia,0.63602
a cappella,0.551489795918
j-dance,0.606775510204
alternative pop rock,0.5633
j-rap,0.669571428571
boston rock,0.511702
future garage,0.635020408163
crossover thrash,0.3425
mathcore,0.40698
