id, value
deep ambient,0.157006
nz indie,0.520916666667
polyphony,0.225504081633
deep progressive trance,0.624208333333
galego,0.508958333333
indie fuzzpop,0.55206122449
experimental psych,0.419614
iskelma,0.455553191489
italian folk,0.599
tekno,0.639
shanty,0.67712
dark psytrance,0.601022222222
breton folk,0.403613636364
jig and reel,0.476612244898
military band,0.702020833333
technical brutal death metal,0.399489795918
armenian folk,0.60744
gamecore,0.50554
tzadik,0.292129166667
neo-pagan,0.52148
go-go,0.63193877551
deep folk metal,0.386104166667
contemporary composition,0.30915
deep canadian indie,0.523
liturgical,0.19092244898
speedcore,0.487630434783
depressive black metal,0.324169387755
accordion,0.521553191489
skinhead reggae,0.751642857143
bulgarian rock,0.673829787234
harp,0.424130434783
ambient fusion,0.623729166667
funeral doom,0.322777272727
pipe band,0.2923
remix,0.586959183673
screamocore,0.344081632653
danish jazz,0.419428571429
future ambient,0.542020833333
deep soft rock,0.620489795918
spoken word,0.6052
klezmer,0.550833333333
j-core,0.47885106383
deep german indie,0.581142857143
minimal dubstep,0.636875
deep sunset lounge,0.565522727273
bemani,0.414469387755
indorock,0.528958333333
flick hop,0.586145833333
indie shoegaze,0.3581875
vintage chanson,0.438744680851
greek house,0.750255319149
punta,0.685469387755
doujin,0.5102
corsican folk,0.523425531915
nepali,0.383668
screamo punk,0.320202
ghettotech,0.719102040816
west african jazz,0.6306875
college marching band,0.565
kuduro,0.7544
neo-industrial rock,0.502
greek hip hop,0.718541666667
barbershop,0.492668
jazz orchestra,0.511571428571
benga,0.643163265306
brass ensemble,0.388285416667
stl indie,0.475265306122
deep happy hardcore,0.5405625
hard glam,0.455448979592
blues-rock guitar,0.517234042553
mantra,0.591391304348
british dance band,0.531933333333
guitar case,0.499571428571
african percussion,0.767833333333
dallas indie,0.546574468085
geek folk,0.57522
carnatic,0.490065217391
deep darkpsy,0.553755555556
triangle indie,0.36962
cumbia funk,0.674541666667
thrash-groove metal,0.480304347826
outer hip hop,0.618586956522
throat singing,0.414383333333
swedish pop punk,0.347044444444
sinhala,0.647319148936
dark minimal techno,0.721777777778
chinese traditional,0.38332
deep deep house,0.790826086957
italian punk,0.480386363636
unblack metal,0.333365957447
deep vocal jazz,0.592191489362
cornetas y tambores,0.397239130435
jug band,0.597666666667
indie pop rock,0.528918367347
power noise,0.56952173913
capoeira,0.678489361702
commons,0.567574468085
post-disco soul,0.748541666667
halloween,0.54075
contemporary folk,0.486428571429
finnish jazz,0.544659090909
chinese indie rock,0.547723404255
byzantine,0.208320408163
zim,0.690456521739
black sludge,0.271642857143
vintage jazz,0.650285714286
dubsteppe,0.733723404255
deep psytrance,0.704571428571
street punk,0.384565217391
breaks,0.693744680851
drama,0.621458333333
abstractro,0.289391836735
deep new wave,0.611291666667
gospel blues,0.5750625
light music,0.304114893617
deep southern soul,0.608734693878
deep indie rock,0.579265306122
mexican traditional,0.683163265306
gothic post-punk,0.536775510204
cajun,0.5835
northern irish indie,0.53385106383
british brass band,0.29744893617
deep indie singer-songwriter,0.587934782609
noise punk,0.304289583333
traditional funk,0.545893617021
polish jazz,0.363574468085
baroque ensemble,0.3761
deep ragga,0.787369565217
demoscene,0.505130434783
japanese traditional,0.377694
deep downtempo fusion,0.638583333333
heavy gothic rock,0.459020833333
bangla,0.601553191489
covertrance,0.646886363636
deep vocal house,0.692311111111
deep freestyle,0.6654375
classical organ,0.182685106383
deep full on,0.578636363636
makina,0.639787234043
c64,0.565666666667
spytrack,0.536367346939
classical flute,0.392163265306
musique concrete,0.252553191489
grim death metal,0.275130434783
polka,0.649897959184
slash punk,0.48870625
muziek voor kinderen,0.641423076923
deep jazz fusion,0.511804347826
classic eurovision,0.6274
chamber choir,0.18283125
skiffle,0.603404255319
poetry,0.659770833333
deep funk house,0.829510638298
fallen angel,0.450645833333
electroacoustic improvisation,0.294895348837
steelpan,0.77656
belorush,0.530063829787
fussball,0.535367346939
oratory,0.606127659574
deep east coast hip hop,0.777469387755
grisly death metal,0.307471428571
traditional reggae,0.772627906977
spanish indie rock,0.378916666667
sunset lounge,0.66711627907
early music ensemble,0.460326086957
contemporary classical,0.2612
lowercase,0.216284444444
punk ska,0.49444
deep progressive house,0.719733333333
indian rock,0.558875
clarinet,0.420736842105
deep jazz piano,0.446468085106
deep melodic death metal,0.346252
hardcore breaks,0.62197826087
skinhead oi,0.409304347826
vintage swing,0.647282608696
hatecore,0.3785
glitch beats,0.4986
villancicos,0.669555555556
deep classic garage rock,0.484680851064
deep indie pop,0.554340425532
neo soul-jazz,0.634170212766
deep pop emo,0.453755555556
traditional rockabilly,0.575340425532
deep nordic folk,0.291895744681
klapa,0.577511111111
deep swedish rock,0.424346938776
crossover prog,0.409577777778
football,0.519270833333
organic ambient,0.409991489362
soda pop,0.489897959184
deep chill-out,0.563391304348
deep hardcore,0.609630434783
deep filthstep,0.569159090909
wrock,0.548755102041
norwegian punk,0.473708333333
deep northern soul,0.54829787234
experimental dubstep,0.648086956522
deep free jazz,0.450684
raw black metal,0.264054
thai indie,0.598533333333
classic psychedelic rock,0.488808510638
gamelan,0.508020408163
deep surf music,0.421510638298
dubstep product,0.63870212766
goa trance,0.548454545455
deep italo disco,0.705222222222
deep thrash metal,0.423625
deep g funk,0.758630434783
accordeon,0.542653061224
charred death,0.360009090909
ambient dub techno,0.664638297872
slovenian rock,0.52714893617
maghreb,0.594446808511
re:techno,0.721611111111
malagasy folk,0.613130434783
hard stoner rock,0.400326086957
dark progressive house,0.724666666667
zeuhl,0.418866666667
neo honky tonk,0.602244897959
tanzlmusi,0.5969375
deep dub techno,0.665760869565
j-punk,0.440510204082
noise,0.36066
chill groove,0.656487804878
tibetan,0.485644444444
deep punk rock,0.378386363636
deep power-pop punk,0.432354166667
j-poppunk,0.467022727273
italo beats,0.6933
deep space rock,0.308234042553
deep motown,0.553895833333
kc indie,0.50054
new jack smooth,0.659958333333
deep nz indie,0.554765957447
alternative metalcore,0.454413043478
chinese opera,0.583377777778
vintage rockabilly,0.58132
deep eurodance,0.644265306122
deep cello,0.301455102041
chill-out trance,0.604666666667
german street punk,0.440739130435
terrorcore,0.593897435897
doomcore,0.545326086957
twin cities indie,0.566
french folk,0.559653061224
glitter trance,0.5965625
nu electro,0.736422222222
indie emo rock,0.405926829268
deep classical piano,0.377583333333
ceilidh,0.513833333333
alternative hardcore,0.341209302326
jangle rock,0.500166666667
skweee,0.693260869565
bulgarian folk,0.249877083333
deep neo-synthpop,0.555760869565
rhythm and boogie,0.5584375
swedish jazz orkester,0.537897959184
deep hardcore punk,0.40523255814
chinese experimental,0.571782608696
jazz composition,0.50287804878
modern downshift,0.433979166667
ethereal gothic,0.4515
ghoststep,0.637527777778
anime cv,0.54546
modern free jazz,0.445543478261
vintage schlager,0.620826086957
song poem,0.557775510204
neo-traditional country,0.587804347826
deep orgcore,0.393733333333
cryptic black metal,0.228935
cinematic dubstep,0.653692307692
vintage country folk,0.578306122449
vintage gospel,0.463085106383
gothic doom,0.350043478261
deep symphonic black metal,0.3431
vintage reggae,0.743285714286
deep german jazz,0.479857142857
twee indie pop,0.470769230769
saxophone,0.333556097561
dark electro-industrial,0.63016
deep delta blues,0.557387755102
caucasian folk,0.353539583333
chip hop,0.511574468085
deep breakcore,0.611717391304
deep deep tech house,0.781914285714
deep string quartet,0.33653
necrogrind,0.349923333333
central asian folk,0.405261702128
drone psych,0.316808571429
vintage swoon,0.524163265306
rock noise,0.48626
smooth urban r&b,0.57688372093
deep latin jazz,0.560153846154
vintage western,0.6045
