genre,instrumentalness
alt-indie rock,0.0694486404
french pop,0.0285078346
world worship,0.0009097336
reggae,0.0196761082
deep trap,1.48495918367e-05
opm,0.0010339978
alternative country,0.0309549532
deep danish pop,0.0153584698
mandopop,0.0012043626
spanish rock,0.00575558653061
industrial metal,0.151474501
deep southern trap,5.62692e-05
forro,0.007381551
sky room,0.1154734274
brazilian hip hop,0.0286017716
nashville sound,0.0040143944
indie garage rock,0.195989925306
taiwanese pop,0.0012043626
bolero,0.0004813482
thrash metal,0.1230190134
merseybeat,0.0127233172
danish pop,0.074074166
lounge,0.0198078322
trance,0.4049624954
finnish dance pop,0.000140602916667
jam band,0.098817189
deep latin hip hop,0.00109860673469
chamber psych,0.233609872
jazz funk,0.2271750842
deep taiwanese pop,0.0102043626
turkish pop,0.0021470108
cool jazz,0.424614822
post-punk,0.1969353008
salsa,0.0003276772
eurodance,0.2388023598
preverb,0.2050639234
brooklyn indie,0.16051113898
c-pop,0.0012043626
swedish alternative rock,0.0798463776
minimal,0.89614
german techno,0.197272411429
pixie,0.0092937342
chilean rock,0.0101807278
deep cumbia sonidera,0.0007831284
candy pop,0.0038132144898
filter house,0.3050824834
post-screamo,0.0067900456
punk blues,0.037382263
vocal house,0.172083461429
deep euro house,0.4365674886
deep new americana,0.0450376366
bow pop,0.3806264862
french hip hop,0.0243327542
alternative emo,0.0948009544
axe,0.000634615918367
big beat,0.412603917551
cabaret,0.0154715558
finnish pop,0.0143620659184
progressive trance,0.5011464834
chanson,0.008839909
swedish indie rock,0.090816099
industrial rock,0.1471803134
merengue,0.000428457
etherpop,0.000686078163265
garage psych,0.3095084084
jazz fusion,0.467946528
power pop,0.045072671
ninja,0.313423127
cantopop,0.00262716408163
uk post-punk,0.183021458163
melodic death metal,0.1803474362
deep swedish hip hop,0.0072411512
country dawn,0.000607663673469
bubblegum dance,0.100119969
show tunes,0.000163091020408
post rock,0.86072
dutch hip hop,0.0465874714286
vallenato,0.0008888108
shiver pop,0.0339467352
italian hip hop,0.0045293668
dutch pop,0.00731543632653
post-disco,0.0550905044
bebop,0.466028794
deep regional mexican,2.0462e-06
spanish pop rock,0.000182649591837
modern classical,0.907454545455
swedish eurodance,0.0394995018
contemporary post-bop,0.445131414
minimal techno,0.733574
irish rock,0.020549212
dutch house,0.136531449362
turkish rock,0.0252079042857
easy listening,0.0081245936
swedish hip hop,0.020509002
danspunk,0.0174519355102
australian pop,0.0673912182
indonesian pop,0.0060803762
canadian indie,0.0457095920408
wrestling,0.107524093061
microhouse,0.664216938776
hip house,0.1166820992
cumbia villera,0.00213080081633
west coast trap,0.0001321184
texas blues,0.124714932
celtic rock,0.0071083128
broadway,3.34548e-05
pinoy alternative,0.001198188
french indietronica,0.3191453742
blues,0.1409086638
acid jazz,0.446168884783
anthem emo,0.0679184816327
chillstep,0.2968367256
movie tunes,0.0001645006
tech house,0.785134
uk funky,0.0214124706122
norwegian indie,0.0442697573469
progressive bluegrass,0.031538351
classic swedish pop,0.0747533320833
traditional blues,0.1195856736
soul jazz,0.5004480884
stoner rock,0.0902589006
melodic hardcore,0.025073445
experimental rock,0.2712401806
turntablism,0.2060774072
norwegian pop,0.0283360306
minimal dub,0.289407234694
fourth world,0.883551020408
electro,0.2777100946
swing,0.2295934098
latin christian,0.000711826
dreamo,0.1508692796
indie jazz,0.3491758712
rock gaucho,0.0584012124
french rock,0.0869062414286
post-hardcore,0.0561665652
epicore,0.71510354375
azontobeats,0.0037270104
zapstep,0.19312112
deep chiptune,0.6377116408
sheffield indie,0.0548566964
uplifting trance,0.5427427248
noise rock,0.238401843617
progressive post-hardcore,0.1793891694
hard bop,0.50180676
antiviral pop,0.0238846673469
aussietronica,0.0856379684
indie punk,0.0660413644
death core,0.057128628125
electro latino,0.0005112552
ambient,0.888673469388
reggae rock,0.0093509654
country blues,0.0622738826
anime,0.0503839644
deep funk,0.321142641
new age,0.735584016
french reggae,0.00159180422222
j-pop,0.028269329
groove room,0.3090295344
lovers rock,0.0186966014
deep melodic euro house,0.780394
death metal,0.215850574
nu disco,0.193166439592
indie rockism,0.00470036367347
electro swing,0.240759024082
country gospel,0.0058386752
neo classical metal,0.2406535
mexican indie,0.0962910759184
uk garage,0.17288856102
gothic metal,0.0792570098
stride,0.5170424434
industrial,0.1982149048
canadian metal,0.0181403426
future funk,0.57435864
christian uplift,0.0038268896
brazilian gospel,0.000524674583333
german metal,0.111184982
swedish indie pop,0.1143392818
gauze pop,0.0127483876
turkish jazz,0.0868677242
christian hip hop,2.50606122449e-05
latin jazz,0.0586794374
stoner metal,0.1193606
experimental,0.32583813625
ska,0.0027780604
french indie pop,0.237036083542
deep ccm,0.0803114462
merengue urbano,0.0128443004
classic norwegian pop,0.0102488059184
pub rock,0.0275338794
memphis blues,0.119393249
ska punk,0.0026355154
suomi rock,0.073865405625
afrobeats,0.007949022
hyphy,0.0069454544898
liquid funk,0.1435975886
swedish synthpop,0.0284718478
chicago blues,0.1267489494
drill,0.0013208934
vaporwave,0.546409636
neue deutsche harte,0.1872207696
louvor,0.0288701353061
world,0.248151429592
dub,0.0180700518
smooth jazz,0.3571906416
drum and bass,0.1968517154
memphis hip hop,0.0025305734
j-rock,0.0577849584
new orleans blues,0.13732284
new weird america,0.235849970833
german pop rock,0.0002070234
old school hip hop,0.0280949430612
relaxative,0.853180816
trova,0.019302993
big band,0.3263096106
hardcore punk,0.0087177248
