genre,tempo
screamocore,139.101204082
danish jazz,120.417877551
future ambient,116.721166667
deep soft rock,108.947734694
spoken word,99.92704
klezmer,122.28102381
j-core,146.370553191
deep german indie,124.634357143
minimal dubstep,137.4975
deep sunset lounge,129.476477273
bemani,110.457285714
indorock,125.274854167
flick hop,109.407
indie shoegaze,122.295354167
vintage chanson,102.749170213
greek house,118.783893617
punta,119.866938776
doujin,127.77572
corsican folk,117.304191489
nepali,109.11426
screamo punk,122.79632
ghettotech,130.619489796
west african jazz,122.268270833
college marching band,128.34744898
kuduro,133.015688889
neo-industrial rock,138.060612245
greek hip hop,109.191520833
barbershop,111.7589
jazz orchestra,127.514755102
benga,126.669122449
brass ensemble,114.883458333
stl indie,123.032387755
deep happy hardcore,168.613708333
hard glam,138.062061224
blues-rock guitar,122.637382979
mantra,124.485565217
british dance band,112.676288889
guitar case,129.145306122
african percussion,127.062916667
dallas indie,126.982765957
geek folk,118.6528
carnatic,124.963978261
deep darkpsy,154.393066667
triangle indie,126.51198
cumbia funk,109.837520833
thrash-groove metal,128.980586957
outer hip hop,105.584217391
throat singing,121.228958333
swedish pop punk,134.732577778
sinhala,112.998234043
dark minimal techno,126.313577778
chinese traditional,106.7463
deep deep house,122.386
italian punk,128.132159091
unblack metal,129.89993617
deep vocal jazz,114.573042553
cornetas y tambores,103.362913043
jug band,119.548625
indie pop rock,127.99955102
power noise,134.144478261
capoeira,102.631212766
commons,121.259744681
post-disco soul,113.584291667
halloween,120.087479167
contemporary folk,118.356020408
finnish jazz,119.347318182
chinese indie rock,128.919234043
byzantine,94.332755102
zim,122.001065217
black sludge,122.814387755
vintage jazz,132.568408163
dubsteppe,127.398085106
deep psytrance,129.616591837
street punk,129.549173913
breaks,134.20312766
drama,103.872208333
abstractro,111.809102041
deep new wave,125.999479167
gospel blues,129.369479167
light music,103.620489362
deep southern soul,111.90944898
deep indie rock,118.728428571
mexican traditional,127.246816327
gothic post-punk,130.052877551
cajun,133.75462
northern irish indie,121.92787234
british brass band,102.669595745
deep indie singer-songwriter,116.844391304
noise punk,132.892166667
traditional funk,123.870574468
polish jazz,100.663020833
baroque ensemble,108.07792
deep ragga,107.314956522
demoscene,122.421673913
japanese traditional,102.4971
deep downtempo fusion,121.567708333
heavy gothic rock,128.480395833
bangla,120.949659574
covertrance,125.460795455
deep vocal house,127.070688889
deep freestyle,120.501395833
classical organ,95.8023191489
deep full on,138.859818182
makina,135.299468085
c64,127.9805625
spytrack,110.477612245
classical flute,105.851653061
musique concrete,97.4353617021
grim death metal,115.165043478
polka,126.33522449
slash punk,124.7870625
muziek voor kinderen,124.473807692
deep jazz fusion,121.199826087
classic eurovision,121.53548
chamber choir,96.534875
skiffle,115.614361702
poetry,100.289041667
deep funk house,122.262978723
fallen angel,134.5899375
electroacoustic improvisation,103.941976744
steelpan,125.70704
belorush,125.546382979
fussball,137.15244898
oratory,105.398617021
deep east coast hip hop,110.897469388
grisly death metal,129.142020408
traditional reggae,127.932465116
spanish indie rock,136.033520833
sunset lounge,122.545023256
early music ensemble,109.235869565
contemporary classical,101.934367347
lowercase,98.9875333333
punk ska,116.36384
deep progressive house,122.781822222
indian rock,121.011354167
clarinet,106.595842105
deep jazz piano,105.527553191
deep melodic death metal,132.77608
hardcore breaks,140.600652174
skinhead oi,126.820173913
vintage swing,117.378673913
hatecore,133.518886364
glitch beats,122.160933333
villancicos,115.110866667
deep classic garage rock,118.992021277
deep indie pop,123.408042553
neo soul-jazz,112.540744681
deep pop emo,144.125288889
traditional rockabilly,122.844382979
deep nordic folk,100.090291667
klapa,114.600311111
deep swedish rock,135.282959184
crossover prog,129.508066667
football,118.847770833
organic ambient,120.948787234
soda pop,114.678653061
deep chill-out,121.799695652
deep hardcore,147.055021739
deep filthstep,135.130181818
wrock,124.37244898
norwegian punk,122.905875
deep northern soul,121.460659574
experimental dubstep,127.576782609
deep free jazz,115.15384
raw black metal,129.60958
thai indie,129.190911111
classic psychedelic rock,124.444446809
gamelan,109.79055102
deep surf music,139.162787234
dubstep product,131.977340426
goa trance,138.070363636
deep italo disco,122.534844444
deep thrash metal,120.317041667
deep g funk,110.51123913
accordeon,124.904306122
charred death,114.295818182
ambient dub techno,124.358255319
slovenian rock,133.884085106
maghreb,122.253914894
re:techno,128.169111111
malagasy folk,121.337434783
hard stoner rock,114.207978261
dark progressive house,124.550088889
zeuhl,121.802533333
neo honky tonk,122.68577551
tanzlmusi,112.026166667
deep dub techno,119.960434783
j-punk,136.108326531
noise,125.396622222
chill groove,113.02202439
tibetan,116.097488889
deep punk rock,143.800931818
deep power-pop punk,130.52525
j-poppunk,132.153795455
italo beats,137.56975
deep space rock,121.24493617
deep motown,112.932166667
kc indie,129.4842
new jack smooth,117.567645833
deep nz indie,129.197170213
alternative metalcore,122.16273913
chinese opera,115.245977778
vintage rockabilly,117.69722
deep eurodance,127.874857143
deep cello,105.887591837
chill-out trance,127.751791667
german street punk,132.689782609
terrorcore,150.147358974
doomcore,137.266152174
twin cities indie,121.41075
french folk,119.374918367
glitter trance,128.622541667
nu electro,128.827933333
indie emo rock,121.967268293
deep classical piano,109.447645833
ceilidh,125.19925
alternative hardcore,114.657976744
jangle rock,117.566104167
skweee,132.787565217
bulgarian folk,104.1556875
deep neo-synthpop,128.485826087
rhythm and boogie,122.674145833
swedish jazz orkester,118.942632653
deep hardcore punk,125.321837209
chinese experimental,122.338
jazz composition,114.62695122
modern downshift,134.149541667
ethereal gothic,126.711847826
ghoststep,135.664972222
anime cv,141.43242
modern free jazz,103.490347826
vintage schlager,122.291130435
song poem,123.502387755
neo-traditional country,117.795456522
deep orgcore,125.494288889
cryptic black metal,136.632475
cinematic dubstep,128.207666667
vintage country folk,119.538755102
vintage gospel,106.185978723
gothic doom,125.480586957
deep symphonic black metal,134.129530612
vintage reggae,110.111714286
deep german jazz,118.423163265
twee indie pop,117.765307692
saxophone,101.392146341
dark electro-industrial,128.07312
deep delta blues,117.143530612
caucasian folk,110.672958333
chip hop,128.481083333
deep breakcore,129.331369565
deep deep tech house,128.057657143
deep string quartet,105.18572
necrogrind,122.6754
central asian folk,114.428276596
drone psych,107.530685714
vintage swoon,113.667877551
rock noise,123.03442
smooth urban r&b,113.985162791
deep latin jazz,119.943512821
vintage western,116.54325
