,genre,energy
251,power metal,0.90616
252,progressive metal,0.90588
253,dancehall,0.700040816327
254,nu gaze,0.661914
255,alt-indie rock,0.79482
256,french pop,0.546314
257,world worship,0.56754
258,reggae,0.5726
259,deep trap,0.592469387755
260,opm,0.395492
261,alternative country,0.48764
262,deep danish pop,0.63288
263,mandopop,0.4818
264,spanish rock,0.681612244898
265,industrial metal,0.85766
266,deep southern trap,0.64922
267,forro,0.7987
268,sky room,0.8479
269,brazilian hip hop,0.67234
270,nashville sound,0.5119
271,indie garage rock,0.567408163265
272,taiwanese pop,0.4818
273,bolero,0.46276
274,thrash metal,0.8894
275,merseybeat,0.55686
276,danish pop,0.58494
277,lounge,0.362566
278,trance,0.80856
279,finnish dance pop,0.762520833333
280,jam band,0.64308
281,deep latin hip hop,0.714530612245
282,chamber psych,0.563474
283,jazz funk,0.518344
284,deep taiwanese pop,0.4838
285,turkish pop,0.78822
286,cool jazz,0.1348342
287,post-punk,0.68238
288,salsa,0.75944
289,eurodance,0.86254
290,preverb,0.59272
291,brooklyn indie,0.71387755102
292,c-pop,0.4818
293,swedish alternative rock,0.8297
294,minimal,0.0936834
295,german techno,0.803673469388
296,pixie,0.84202
297,chilean rock,0.62308
298,deep cumbia sonidera,0.61698
299,candy pop,0.805693877551
300,filter house,0.70822
301,post-screamo,0.92546
302,punk blues,0.74332
303,vocal house,0.777346938776
304,deep euro house,0.64492
305,deep new americana,0.45678
306,bow pop,0.5594
307,french hip hop,0.73312
308,alternative emo,0.77484
309,axe,0.734734693878
310,big beat,0.74293877551
311,cabaret,0.22388
312,finnish pop,0.720714285714
313,progressive trance,0.81454
314,chanson,0.43411
315,swedish indie rock,0.6841
316,industrial rock,0.81796
317,merengue,0.72604
318,etherpop,0.629265306122
319,garage psych,0.72042
320,jazz fusion,0.1988342
321,power pop,0.73588
322,ninja,0.65727
323,cantopop,0.465693877551
324,uk post-punk,0.688734693878
325,melodic death metal,0.93202
326,deep swedish hip hop,0.68358
327,country dawn,0.68712244898
328,bubblegum dance,0.87678
329,show tunes,0.357640816327
330,post rock,0.3437784
331,dutch hip hop,0.673265306122
332,vallenato,0.80132
333,shiver pop,0.58994
334,italian hip hop,0.68852
335,dutch pop,0.631244897959
336,post-disco,0.7023
337,bebop,0.1295842
338,deep regional mexican,0.70706
339,spanish pop rock,0.671346938776
340,modern classical,0.0863054545455
341,swedish eurodance,0.83526
342,contemporary post-bop,0.1353142
343,minimal techno,0.65612
344,irish rock,0.64198
345,dutch house,0.845
346,turkish rock,0.706102040816
347,easy listening,0.317666
348,swedish hip hop,0.62406
349,danspunk,0.835244897959
350,australian pop,0.64518
351,indonesian pop,0.4574
352,canadian indie,0.702408163265
353,wrestling,0.839183673469
354,microhouse,0.568571428571
355,hip house,0.75724
356,cumbia villera,0.794469387755
357,west coast trap,0.62958
358,texas blues,0.583336
359,celtic rock,0.7603
360,broadway,0.4654
361,pinoy alternative,0.448552
362,french indietronica,0.57152
363,blues,0.527336
364,acid jazz,0.6065
365,anthem emo,0.782775510204
366,chillstep,0.63018
367,movie tunes,0.3558
368,tech house,0.74486
369,uk funky,0.739612244898
370,norwegian indie,0.587204081633
371,progressive bluegrass,0.43498
372,classic swedish pop,0.510741666667
373,traditional blues,0.4908
374,soul jazz,0.187454
375,stoner rock,0.7193
376,melodic hardcore,0.86896
377,experimental rock,0.65412
378,turntablism,0.6379
379,norwegian pop,0.6218
380,minimal dub,0.64012244898
381,fourth world,0.0905785714286
382,electro,0.74314
383,swing,0.19934
384,latin christian,0.60514
385,dreamo,0.6644
386,indie jazz,0.4265294
387,rock gaucho,0.64638
388,french rock,0.549755102041
389,post-hardcore,0.84576
390,epicore,0.579416666667
391,azontobeats,0.65712
392,zapstep,0.88424
393,deep chiptune,0.619384
394,sheffield indie,0.74852
395,uplifting trance,0.796
396,noise rock,0.735446808511
397,progressive post-hardcore,0.86396
398,hard bop,0.1258862
399,antiviral pop,0.783979591837
400,aussietronica,0.62252
401,indie punk,0.72396
402,death core,0.9465
403,electro latino,0.80136
404,ambient,0.121037959184
405,reggae rock,0.67466
406,country blues,0.47208
407,anime,0.8293
408,deep funk,0.6596
409,new age,0.234164
410,french reggae,0.648333333333
411,j-pop,0.84398
412,groove room,0.72008
413,lovers rock,0.59064
414,deep melodic euro house,0.61022
415,death metal,0.94904
416,nu disco,0.711775510204
417,indie rockism,0.813469387755
418,electro swing,0.780591836735
419,country gospel,0.467866
420,neo classical metal,0.85084
421,mexican indie,0.782795918367
422,uk garage,0.726326530612
423,gothic metal,0.8605
424,stride,0.154776
425,industrial,0.776984
426,canadian metal,0.83872
427,future funk,0.36458
428,christian uplift,0.509542
429,brazilian gospel,0.568729166667
430,german metal,0.79618
431,swedish indie pop,0.6432
432,gauze pop,0.56538
433,turkish jazz,0.55042
434,christian hip hop,0.698734693878
435,latin jazz,0.552946
436,stoner metal,0.8367
437,experimental,0.65605625
438,ska,0.77452
439,french indie pop,0.571125
440,deep ccm,0.55084
441,merengue urbano,0.72102
442,classic norwegian pop,0.563489795918
443,pub rock,0.71354
444,memphis blues,0.4816
445,ska punk,0.87042
446,suomi rock,0.865833333333
447,afrobeats,0.65484
448,hyphy,0.628102040816
449,liquid funk,0.80638
450,swedish synthpop,0.7244
451,chicago blues,0.50294
452,drill,0.69302
453,vaporwave,0.563048
454,neue deutsche harte,0.8621
455,louvor,0.464775510204
456,world,0.625857142857
457,dub,0.54538
458,smooth jazz,0.560858
459,drum and bass,0.84244
460,memphis hip hop,0.67664
461,j-rock,0.88634
462,new orleans blues,0.525022
463,new weird america,0.531510416667
464,german pop rock,0.67126
465,old school hip hop,0.705265306122
466,relaxative,0.1388118
467,trova,0.4332
468,big band,0.212612
469,hardcore punk,0.92558
470,stomp pop,0.68866
471,bass music,0.58848
472,flamenco,0.679382978723
473,indonesian indie,0.508408163265
474,comedy,0.86606
475,baroque,0.132386206897
476,viking metal,0.94264
477,russelater,0.785081632653
478,djent,0.853276595745
479,mambo,0.681346
480,acoustic blues,0.395012
481,spanish indie pop,0.633183673469
482,swedish metal,0.93932
483,delta blues,0.408092
484,norwegian rock,0.585148
485,deep texas country,0.67693877551
486,gospel,0.6229
487,christian relaxative,0.376506521739
488,doo-wop,0.47172
489,icelandic pop,0.468452
490,latin metal,0.84662
491,cowboy western,0.385886
492,piedmont blues,0.376926
493,deep swedish indie pop,0.606468085106
494,wonky,0.60856
495,hardstyle,0.86036
496,classical period,0.068983
497,minimal tech house,0.654040816327
498,cumbia sonidera,0.655
499,operatic pop,0.330254
500,meditation,0.424424008
501,pop house,0.83172
502,dangdut,0.552959183673
503,turkish folk,0.594775510204
504,hands up,0.840489795918
505,deep disco house,0.62906122449
506,celtic,0.226846
507,desi,0.76992
508,shoegaze,0.63728
509,tejano,0.64216
510,boogaloo,0.709046
511,argentine reggae,0.61852
512,nwobhm,0.90866
513,deep hardstyle,0.887428571429
514,dansband,0.815644444444
515,indian pop,0.77234
516,danish pop rock,0.569857142857
517,japanese r&b,0.807612244898
518,electropowerpop,0.85956
519,gothic symphonic metal,0.8716
520,intelligent dance music,0.660078
521,healing,0.1505092
522,sleep,0.437807318
523,finnish hip hop,0.6214
524,desi hip hop,0.771
525,schlager,0.664204081633
526,melbourne bounce,0.84464
527,contemporary jazz,0.2531376
528,drone,0.1371806
529,symphonic metal,0.86904
530,spanish punk,0.853693877551
531,filthstep,0.83242
532,louisiana blues,0.44119
533,children's music,0.636495918367
534,cubaton,0.822469387755
535,velha guarda,0.42296
536,electroclash,0.706081632653
537,jangle pop,0.7279
538,brazilian indie,0.57006122449
539,chicano rap,0.610387755102
540,spanish hip hop,0.709142857143
541,uk drill,0.65392
542,folk punk,0.66798
543,k-hop,0.7547
544,retro electro,0.748020408163
545,alternative r&b,0.59994
546,afrobeat,0.6582
547,polish pop,0.624265306122
548,opera,0.343275
549,british folk,0.373976744186
550,nu-cumbia,0.53618
551,a cappella,0.457885714286
552,j-dance,0.814959183673
553,alternative pop rock,0.69654
554,j-rap,0.772469387755
555,boston rock,0.68782
556,future garage,0.626918367347
557,crossover thrash,0.92744
558,mathcore,0.8834
