,genre,instrumentalness
220,disco house,0.182234044
221,symphonic rock,0.1704345324
222,comic,0.017042632
223,pop emo,0.00816701680851
224,anti-folk,0.0922582292
225,grunge,0.0201483517778
226,duranguense,0.0006868936
227,australian dance,0.02637341
228,traditional folk,0.0050564658
229,bubblegum pop,0.0030192532
230,otacore,0.0330802188
231,chillhop,0.522541597959
232,hoerspiel,3.08920408163e-05
233,australian alternative rock,0.071382738
234,reggae fusion,0.0006372976
235,sertanejo,3.62e-05
236,la indie,0.0454444452
237,jazz,0.352454822
238,rockabilly,0.0147949308
239,cumbia,0.0101965864
240,nueva cancion,0.005951555
241,progressive rock,0.2085703744
242,texas country,0.0087702856
243,nu jazz,0.422120026327
244,video game music,0.593137373023
245,romantic,0.838206666667
246,roots reggae,0.019676759
247,slow core,0.2705701632
248,swedish folk pop,0.006989689
249,space rock,0.381002012
250,madchester,0.1136533368
251,power metal,0.0568675978
252,progressive metal,0.233274494
253,dancehall,0.0136332438776
254,nu gaze,0.1462492002
255,alt-indie rock,0.0694486404
256,french pop,0.0285078346
257,world worship,0.0009097336
258,reggae,0.0196761082
259,deep trap,1.48495918367e-05
260,opm,0.0010339978
261,alternative country,0.0309549532
262,deep danish pop,0.0153584698
263,mandopop,0.0012043626
264,spanish rock,0.00575558653061
265,industrial metal,0.151474501
266,deep southern trap,5.62692e-05
267,forro,0.007381551
268,sky room,0.1154734274
269,brazilian hip hop,0.0286017716
270,nashville sound,0.0040143944
271,indie garage rock,0.195989925306
272,taiwanese pop,0.0012043626
273,bolero,0.0004813482
274,thrash metal,0.1230190134
275,merseybeat,0.0127233172
276,danish pop,0.074074166
277,lounge,0.0198078322
278,trance,0.4049624954
279,finnish dance pop,0.000140602916667
280,jam band,0.098817189
281,deep latin hip hop,0.00109860673469
282,chamber psych,0.233609872
283,jazz funk,0.2271750842
284,deep taiwanese pop,0.0102043626
285,turkish pop,0.0021470108
286,cool jazz,0.424614822
287,post-punk,0.1969353008
288,salsa,0.0003276772
289,eurodance,0.2388023598
290,preverb,0.2050639234
291,brooklyn indie,0.16051113898
292,c-pop,0.0012043626
293,swedish alternative rock,0.0798463776
294,minimal,0.89614
295,german techno,0.197272411429
296,pixie,0.0092937342
297,chilean rock,0.0101807278
298,deep cumbia sonidera,0.0007831284
299,candy pop,0.0038132144898
300,filter house,0.3050824834
