,genre,loudness
233,australian alternative rock,-6.68198
234,reggae fusion,-6.3287
235,sertanejo,-3.99282
236,la indie,-5.22854
237,jazz,-17.59814
238,rockabilly,-10.2261
239,cumbia,-6.42234
240,nueva cancion,-9.30812
241,progressive rock,-11.90884
242,texas country,-6.50706
243,nu jazz,-8.42359183673
244,video game music,-13.6587209302
245,romantic,-19.1785666667
246,roots reggae,-8.32818
247,slow core,-13.86762
248,swedish folk pop,-7.33332
249,space rock,-14.33588
250,madchester,-7.72882
251,power metal,-5.07092
252,progressive metal,-5.30334
253,dancehall,-6.21616326531
254,nu gaze,-7.40246
255,alt-indie rock,-5.1036
256,french pop,-8.28842
257,world worship,-7.36084
258,reggae,-8.50328
259,deep trap,-6.59651020408
260,opm,-8.98806
261,alternative country,-8.95294
262,deep danish pop,-6.01902
263,mandopop,-7.8356
264,spanish rock,-7.28204081633
265,industrial metal,-5.4746
266,deep southern trap,-6.2102
267,forro,-5.92778
268,sky room,-4.59918
269,brazilian hip hop,-7.23812
270,nashville sound,-10.68806
271,indie garage rock,-8.1647755102
272,taiwanese pop,-7.8356
273,bolero,-9.5806
274,thrash metal,-5.74666
275,merseybeat,-9.42254
276,danish pop,-7.37164
277,lounge,-10.49036
278,trance,-8.6239
279,finnish dance pop,-5.72725
280,jam band,-7.75784
281,deep latin hip hop,-5.54932653061
282,chamber psych,-8.76398
283,jazz funk,-11.79198
284,deep taiwanese pop,-7.905
285,turkish pop,-5.6847
286,cool jazz,-17.93156
287,post-punk,-9.19562
288,salsa,-5.67296
289,eurodance,-7.47246
290,preverb,-7.77416
291,brooklyn indie,-6.4286122449
292,c-pop,-7.8356
293,swedish alternative rock,-5.03796
294,minimal,-24.83604
295,german techno,-5.71316326531
296,pixie,-4.5338
297,chilean rock,-7.439
298,deep cumbia sonidera,-6.71298
299,candy pop,-4.63797959184
300,filter house,-7.51044
301,post-screamo,-4.11222
302,punk blues,-5.54528
303,vocal house,-6.09395918367
304,deep euro house,-8.21936
305,deep new americana,-9.89144
306,bow pop,-10.55948
307,french hip hop,-5.43224
308,alternative emo,-5.92604
309,axe,-7.02008163265
310,big beat,-7.73628571429
311,cabaret,-14.5328
312,finnish pop,-6.3962244898
313,progressive trance,-9.26978
314,chanson,-9.75806
315,swedish indie rock,-7.019
316,industrial rock,-6.36136
317,merengue,-6.21326
318,etherpop,-6.57373469388
319,garage psych,-6.73682
320,jazz fusion,-17.49814
321,power pop,-8.6501
322,ninja,-7.41262
323,cantopop,-8.30865306122
324,uk post-punk,-8.82232653061
325,melodic death metal,-4.5774
