,genre,speechiness
249,space rock,0.047732
250,madchester,0.04205
251,power metal,0.073986
252,progressive metal,0.082572
253,dancehall,0.169112244898
254,nu gaze,0.050314
255,alt-indie rock,0.055044
256,french pop,0.06528
257,world worship,0.036012
258,reggae,0.148028
259,deep trap,0.173275510204
260,opm,0.03301
261,alternative country,0.04422
262,deep danish pop,0.10735
263,mandopop,0.037268
264,spanish rock,0.0498224489796
265,industrial metal,0.071448
266,deep southern trap,0.262736
267,forro,0.096246
268,sky room,0.070932
269,brazilian hip hop,0.175686
270,nashville sound,0.044252
271,indie garage rock,0.0492244897959
272,taiwanese pop,0.037268
273,bolero,0.035474
274,thrash metal,0.090988
275,merseybeat,0.045678
276,danish pop,0.076058
277,lounge,0.044108
278,trance,0.071724
279,finnish dance pop,0.12334375
280,jam band,0.051048
281,deep latin hip hop,0.189657142857
282,chamber psych,0.039482
283,jazz funk,0.058876
284,deep taiwanese pop,0.03717
285,turkish pop,0.07305
286,cool jazz,0.047042
287,post-punk,0.049158
288,salsa,0.049094
289,eurodance,0.066126
290,preverb,0.03731
291,brooklyn indie,0.049893877551
292,c-pop,0.037268
293,swedish alternative rock,0.071534
294,minimal,0.046738
295,german techno,0.0520959183673
296,pixie,0.064582
297,chilean rock,0.076574
298,deep cumbia sonidera,0.046656
299,candy pop,0.0564551020408
300,filter house,0.083834
301,post-screamo,0.101296
302,punk blues,0.060416
303,vocal house,0.068
304,deep euro house,0.071124
305,deep new americana,0.04071
306,bow pop,0.046768
307,french hip hop,0.14885
308,alternative emo,0.06076
309,axe,0.0799102040816
310,big beat,0.0983795918367
311,cabaret,0.061864
312,finnish pop,0.0635612244898
313,progressive trance,0.071206
314,chanson,0.06285
315,swedish indie rock,0.059806
316,industrial rock,0.066392
317,merengue,0.05481
318,etherpop,0.0615265306122
319,garage psych,0.037792
320,jazz fusion,0.05357
321,power pop,0.045322
322,ninja,0.0589
323,cantopop,0.0493979591837
324,uk post-punk,0.0459551020408
325,melodic death metal,0.079718
326,deep swedish hip hop,0.16505
327,country dawn,0.0417918367347
328,bubblegum dance,0.056172
329,show tunes,0.114551020408
330,post rock,0.035544
331,dutch hip hop,0.159973469388
332,vallenato,0.065174
333,shiver pop,0.055842
334,italian hip hop,0.112594
335,dutch pop,0.0552653061224
336,post-disco,0.067518
337,bebop,0.045932
338,deep regional mexican,0.069358
339,spanish pop rock,0.0540755102041
340,modern classical,0.044125
341,swedish eurodance,0.109076
342,contemporary post-bop,0.045924
343,minimal techno,0.056984
344,irish rock,0.053618
345,dutch house,0.0739638297872
346,turkish rock,0.0617244897959
347,easy listening,0.04111
348,swedish hip hop,0.105026
349,danspunk,0.0804040816327
350,australian pop,0.05565
351,indonesian pop,0.039068
352,canadian indie,0.043687755102
353,wrestling,0.072293877551
354,microhouse,0.0814020408163
355,hip house,0.107436
356,cumbia villera,0.0830346938776
357,west coast trap,0.281798
358,texas blues,0.052472
359,celtic rock,0.060496
360,broadway,0.162714
361,pinoy alternative,0.037878
362,french indietronica,0.061884
363,blues,0.044504
364,acid jazz,0.0532760869565
365,anthem emo,0.0635510204082
366,chillstep,0.071886
367,movie tunes,0.082026
368,tech house,0.057884
369,uk funky,0.0666081632653
370,norwegian indie,0.065206122449
371,progressive bluegrass,0.036734
372,classic swedish pop,0.0414291666667
373,traditional blues,0.041798
374,soul jazz,0.045568
375,stoner rock,0.068782
376,melodic hardcore,0.068808
377,experimental rock,0.049348
378,turntablism,0.202692
379,norwegian pop,0.050712
380,minimal dub,0.079487755102
381,fourth world,0.0425895833333
382,electro,0.094606
383,swing,0.055188
384,latin christian,0.03674
385,dreamo,0.05122
386,indie jazz,0.07238
387,rock gaucho,0.069544
388,french rock,0.0504367346939
389,post-hardcore,0.078992
390,epicore,0.04639375
391,azontobeats,0.112388
392,zapstep,0.140822
393,deep chiptune,0.054308
394,sheffield indie,0.05538
395,uplifting trance,0.060776
396,noise rock,0.0527893617021
397,progressive post-hardcore,0.072356
398,hard bop,0.045638
399,antiviral pop,0.0877102040816
400,aussietronica,0.113312
401,indie punk,0.0576
402,death core,0.135758333333
403,electro latino,0.101926
404,ambient,0.0421791666667
405,reggae rock,0.065672
406,country blues,0.040486
407,anime,0.097726
408,deep funk,0.080042
409,new age,0.039178
410,french reggae,0.17338
411,j-pop,0.09429
412,groove room,0.0548
413,lovers rock,0.16019
414,deep melodic euro house,0.064972
415,death metal,0.12281
416,nu disco,0.0608081632653
417,indie rockism,0.0524387755102
418,electro swing,0.100483673469
419,country gospel,0.04228
420,neo classical metal,0.071286
421,mexican indie,0.0600285714286
422,uk garage,0.146816326531
423,gothic metal,0.055882
424,stride,0.04213
425,industrial,0.074978
426,canadian metal,0.046978
427,future funk,0.214298
428,christian uplift,0.039588
429,brazilian gospel,0.0372645833333
430,german metal,0.05375
431,swedish indie pop,0.07359
432,gauze pop,0.05973
