,genre,danceability
251,power metal,0.42314
252,progressive metal,0.4196
253,dancehall,0.732775510204
254,nu gaze,0.52912
255,alt-indie rock,0.45764
256,french pop,0.6344
257,world worship,0.41144
258,reggae,0.80526
259,deep trap,0.795734693878
260,opm,0.55676
261,alternative country,0.51986
262,deep danish pop,0.6536
263,mandopop,0.52698
264,spanish rock,0.602897959184
265,industrial metal,0.54926
266,deep southern trap,0.72468
267,forro,0.56102
268,sky room,0.6216
269,brazilian hip hop,0.72696
270,nashville sound,0.6139
271,indie garage rock,0.537714285714
272,taiwanese pop,0.52698
273,bolero,0.50858
274,thrash metal,0.41434
275,merseybeat,0.51082
276,danish pop,0.6381
277,lounge,0.49898
278,trance,0.53784
279,finnish dance pop,0.6630625
280,jam band,0.51034
281,deep latin hip hop,0.760428571429
282,chamber psych,0.511
283,jazz funk,0.6117
284,deep taiwanese pop,0.52638
285,turkish pop,0.6898
286,cool jazz,0.48664
287,post-punk,0.5577
288,salsa,0.65556
289,eurodance,0.70686
290,preverb,0.51848
291,brooklyn indie,0.57406122449
292,c-pop,0.52698
293,swedish alternative rock,0.54462
294,minimal,0.327592
295,german techno,0.637632653061
296,pixie,0.53206
297,chilean rock,0.63
298,deep cumbia sonidera,0.65042
299,candy pop,0.569693877551
300,filter house,0.68552
301,post-screamo,0.46498
302,punk blues,0.486
303,vocal house,0.712673469388
304,deep euro house,0.7675
305,deep new americana,0.55526
306,bow pop,0.437718
307,french hip hop,0.76036
308,alternative emo,0.48302
309,axe,0.640897959184
310,big beat,0.619959183673
311,cabaret,0.4334
312,finnish pop,0.606755102041
313,progressive trance,0.53334
314,chanson,0.56514
315,swedish indie rock,0.5476
316,industrial rock,0.55736
317,merengue,0.73706
318,etherpop,0.555571428571
319,garage psych,0.47732
320,jazz fusion,0.49808
321,power pop,0.56244
322,ninja,0.54542
323,cantopop,0.524448979592
324,uk post-punk,0.506183673469
325,melodic death metal,0.44276
326,deep swedish hip hop,0.6852
327,country dawn,0.569020408163
328,bubblegum dance,0.71772
329,show tunes,0.456183673469
330,post rock,0.339726
331,dutch hip hop,0.73093877551
332,vallenato,0.69664
333,shiver pop,0.57034
334,italian hip hop,0.6509
335,dutch pop,0.64087755102
336,post-disco,0.77798
337,bebop,0.4695
338,deep regional mexican,0.74158
339,spanish pop rock,0.594285714286
340,modern classical,0.286170454545
341,swedish eurodance,0.68484
342,contemporary post-bop,0.48258
343,minimal techno,0.71958
344,irish rock,0.4935
345,dutch house,0.642553191489
346,turkish rock,0.628
347,easy listening,0.486
348,swedish hip hop,0.60126
349,danspunk,0.563244897959
350,australian pop,0.60142
351,indonesian pop,0.55376
352,canadian indie,0.559204081633
353,wrestling,0.503040816327
354,microhouse,0.629795918367
355,hip house,0.78862
356,cumbia villera,0.720142857143
357,west coast trap,0.73912
358,texas blues,0.53976
359,celtic rock,0.50654
360,broadway,0.56566
361,pinoy alternative,0.57926
362,french indietronica,0.68016
363,blues,0.57858
364,acid jazz,0.660956521739
365,anthem emo,0.497755102041
366,chillstep,0.51694
367,movie tunes,0.4498
368,tech house,0.7393
369,uk funky,0.65712244898
370,norwegian indie,0.578265306122
371,progressive bluegrass,0.53982
372,classic swedish pop,0.523395833333
373,traditional blues,0.61324
374,soul jazz,0.49574
375,stoner rock,0.3884
376,melodic hardcore,0.4422
377,experimental rock,0.4708
378,turntablism,0.7354
379,norwegian pop,0.55518
380,minimal dub,0.66412244898
381,fourth world,0.22728125
382,electro,0.70178
383,swing,0.49236
384,latin christian,0.50588
385,dreamo,0.43554
386,indie jazz,0.58086
387,rock gaucho,0.55886
