,genre,valence
333,shiver pop,0.444968
334,italian hip hop,0.54072
335,dutch pop,0.477046938776
336,post-disco,0.83742
337,bebop,0.220454
338,deep regional mexican,0.8605
339,spanish pop rock,0.480142857143
340,modern classical,0.107079545455
341,swedish eurodance,0.57718
342,contemporary post-bop,0.233106
343,minimal techno,0.27852
344,irish rock,0.41756
345,dutch house,0.375270212766
346,turkish rock,0.548530612245
347,easy listening,0.456628
348,swedish hip hop,0.250204
349,danspunk,0.629244897959
350,australian pop,0.49826
351,indonesian pop,0.43692
352,canadian indie,0.50093877551
353,wrestling,0.454346938776
354,microhouse,0.324867346939
355,hip house,0.75042
356,cumbia villera,0.834367346939
357,west coast trap,0.512052
358,texas blues,0.59672
359,celtic rock,0.548976
360,broadway,0.47334
361,pinoy alternative,0.428188
362,french indietronica,0.386046
363,blues,0.64014
364,acid jazz,0.509797826087
365,anthem emo,0.463081632653
366,chillstep,0.23098
367,movie tunes,0.45619
368,tech house,0.355414
369,uk funky,0.429565306122
370,norwegian indie,0.411020408163
371,progressive bluegrass,0.41744
372,classic swedish pop,0.398264583333
373,traditional blues,0.66834
374,soul jazz,0.307306
375,stoner rock,0.4389
376,melodic hardcore,0.482254
377,experimental rock,0.480168
378,turntablism,0.62626
379,norwegian pop,0.40912
380,minimal dub,0.343485714286
381,fourth world,0.0885375
382,electro,0.515096
383,swing,0.35696
384,latin christian,0.269138
385,dreamo,0.365968
386,indie jazz,0.429278
387,rock gaucho,0.58186
388,french rock,0.525257142857
389,post-hardcore,0.38587
390,epicore,0.169960416667
391,azontobeats,0.7132
392,zapstep,0.325944
393,deep chiptune,0.450154
394,sheffield indie,0.562416
395,uplifting trance,0.251886
396,noise rock,0.484404255319
397,progressive post-hardcore,0.39934
398,hard bop,0.224376
399,antiviral pop,0.587775510204
400,aussietronica,0.330258
401,indie punk,0.376564
402,death core,0.25178125
403,electro latino,0.66086
404,ambient,0.0795395833333
405,reggae rock,0.65872
406,country blues,0.53148
407,anime,0.445624
408,deep funk,0.699856
409,new age,0.179556
410,french reggae,0.7406
411,j-pop,0.47762
412,groove room,0.415098
413,lovers rock,0.73688
414,deep melodic euro house,0.322806
415,death metal,0.224034
416,nu disco,0.479689795918
417,indie rockism,0.504959183673
418,electro swing,0.673448979592
419,country gospel,0.60458
420,neo classical metal,0.35588
421,mexican indie,0.612897959184
422,uk garage,0.526571428571
423,gothic metal,0.341364
424,stride,0.264204
425,industrial,0.412528
426,canadian metal,0.446124
427,future funk,0.464336
428,christian uplift,0.26322
429,brazilian gospel,0.249464583333
430,german metal,0.421494
431,swedish indie pop,0.425134
432,gauze pop,0.376494
433,turkish jazz,0.474334
434,christian hip hop,0.419489795918
435,latin jazz,0.720322
436,stoner metal,0.384584
437,experimental,0.461427083333
438,ska,0.74722
439,french indie pop,0.489341666667
440,deep ccm,0.188086
441,merengue urbano,0.7731
442,classic norwegian pop,0.459132653061
443,pub rock,0.671072
444,memphis blues,0.6901
445,ska punk,0.66998
446,suomi rock,0.4659125
447,afrobeats,0.71134
448,hyphy,0.562040816327
449,liquid funk,0.347388
450,swedish synthpop,0.438468
451,chicago blues,0.70664
452,drill,0.423382
453,vaporwave,0.42049
454,neue deutsche harte,0.443502
455,louvor,0.281540816327
456,world,0.746959183673
457,dub,0.751
458,smooth jazz,0.64032
459,drum and bass,0.310598
460,memphis hip hop,0.516072
461,j-rock,0.44054
462,new orleans blues,0.71916
463,new weird america,0.410941666667
464,german pop rock,0.492848
465,old school hip hop,0.688040816327
466,relaxative,0.180238
467,trova,0.49624
468,big band,0.4585
469,hardcore punk,0.50996
470,stomp pop,0.39737
471,bass music,0.354924
472,flamenco,0.700429787234
473,indonesian indie,0.431208163265
474,comedy,0.294178
475,baroque,0.490886206897
476,viking metal,0.32325
477,russelater,0.513716326531
478,djent,0.328659574468
479,mambo,0.80772
480,acoustic blues,0.64306
481,spanish indie pop,0.511326530612
482,swedish metal,0.338982
483,delta blues,0.62702
484,norwegian rock,0.361476
485,deep texas country,0.509244897959
486,gospel,0.298784
487,christian relaxative,0.233686956522
488,doo-wop,0.69094
489,icelandic pop,0.238536
490,latin metal,0.452122
491,cowboy western,0.6839
492,piedmont blues,0.54406
493,deep swedish indie pop,0.412995744681
494,wonky,0.403544
495,hardstyle,0.319324
496,classical period,0.17439
497,minimal tech house,0.396418367347
498,cumbia sonidera,0.81316
499,operatic pop,0.189972
500,meditation,0.03367875
501,pop house,0.61032
502,dangdut,0.392295918367
503,turkish folk,0.510336734694
504,hands up,0.488540816327
505,deep disco house,0.453332653061
506,celtic,0.223288
507,desi,0.6305
508,shoegaze,0.429056
509,tejano,0.67752
510,boogaloo,0.82246
511,argentine reggae,0.7316
512,nwobhm,0.37976
513,deep hardstyle,0.260391836735
514,dansband,0.802088888889
515,indian pop,0.62958
516,danish pop rock,0.498016326531
517,japanese r&b,0.553
518,electropowerpop,0.52872
519,gothic symphonic metal,0.352858
