,genre,acousticness
237,jazz,0.88348
238,rockabilly,0.533904
239,cumbia,0.2002772
240,nueva cancion,0.6020456
241,progressive rock,0.2944372
242,texas country,0.14108758
243,nu jazz,0.273171408163
244,video game music,0.446847685581
245,romantic,0.975133333333
246,roots reggae,0.1533544
247,slow core,0.73918027
248,swedish folk pop,0.3812136
249,space rock,0.32128926
250,madchester,0.082905236
251,power metal,0.0115188092
252,progressive metal,0.0127289706
253,dancehall,0.180821530612
254,nu gaze,0.243574634
255,alt-indie rock,0.051267904
256,french pop,0.47611
257,world worship,0.1753116
258,reggae,0.1417644
259,deep trap,0.112483591837
260,opm,0.548144
261,alternative country,0.429298
262,deep danish pop,0.2088742
263,mandopop,0.495584
264,spanish rock,0.237792520408
265,industrial metal,0.004385564
266,deep southern trap,0.10089426
267,forro,0.335906
268,sky room,0.04104934
269,brazilian hip hop,0.17211448
270,nashville sound,0.381346
271,indie garage rock,0.381978836735
272,taiwanese pop,0.495584
273,bolero,0.532996
274,thrash metal,0.0090465542
275,merseybeat,0.3094814
276,danish pop,0.34091048
277,lounge,0.69096
278,trance,0.04334458
279,finnish dance pop,0.105697825
280,jam band,0.3403842
281,deep latin hip hop,0.229212346939
282,chamber psych,0.32481228
283,jazz funk,0.4552702
284,deep taiwanese pop,0.490424
285,turkish pop,0.13866344
286,cool jazz,0.89168
287,post-punk,0.129146488
288,salsa,0.430604
289,eurodance,0.074832142
290,preverb,0.2698710246
291,brooklyn indie,0.171409889796
292,c-pop,0.495584
293,swedish alternative rock,0.040686998
294,minimal,0.93702
295,german techno,0.073443644898
296,pixie,0.060128604
297,chilean rock,0.3429704
298,deep cumbia sonidera,0.2807132
299,candy pop,0.060382077551
300,filter house,0.132249973
301,post-screamo,0.004439074
302,punk blues,0.106420986
303,vocal house,0.0556150122449
304,deep euro house,0.0874990014
305,deep new americana,0.562972
306,bow pop,0.40732561
307,french hip hop,0.2800037
308,alternative emo,0.126689286
309,axe,0.385046938776
310,big beat,0.148479367347
311,cabaret,0.84014
312,finnish pop,0.177627487755
313,progressive trance,0.032239334
314,chanson,0.6276748
315,swedish indie rock,0.276208288
316,industrial rock,0.048034056
317,merengue,0.410924
318,etherpop,0.262390612245
319,garage psych,0.14442611
320,jazz fusion,0.8144858
321,power pop,0.12457104
322,ninja,0.13174516
323,cantopop,0.505074897959
324,uk post-punk,0.147499563265
325,melodic death metal,0.0105757808
326,deep swedish hip hop,0.1613184
327,country dawn,0.29017755102
328,bubblegum dance,0.07869248
329,show tunes,0.681897959184
330,post rock,0.58120776
331,dutch hip hop,0.256102428571
332,vallenato,0.2197308
333,shiver pop,0.299391422
334,italian hip hop,0.18174362
335,dutch pop,0.316884204082
336,post-disco,0.1271714
337,bebop,0.90058
338,deep regional mexican,0.42944
339,spanish pop rock,0.342820408163
340,modern classical,0.960045454545
341,swedish eurodance,0.06595304
342,contemporary post-bop,0.87676
343,minimal techno,0.104540584
344,irish rock,0.126044108
345,dutch house,0.049841106383
346,turkish rock,0.243372040816
347,easy listening,0.6985
348,swedish hip hop,0.24172444
349,danspunk,0.130736777143
350,australian pop,0.202507468
351,indonesian pop,0.4967186
352,canadian indie,0.141618918367
353,wrestling,0.0301495367347
354,microhouse,0.254205938776
355,hip house,0.029680382
356,cumbia villera,0.233642857143
357,west coast trap,0.1355902
358,texas blues,0.3234562
359,celtic rock,0.11567918
360,broadway,0.514384
361,pinoy alternative,0.4767246
362,french indietronica,0.288886
363,blues,0.4336092
364,acid jazz,0.268031732609
365,anthem emo,0.104504657143
366,chillstep,0.17918132
367,movie tunes,0.6389
368,tech house,0.043408626
369,uk funky,0.10619522449
370,norwegian indie,0.329481428571
371,progressive bluegrass,0.592594
372,classic swedish pop,0.494902083333
373,traditional blues,0.487122
374,soul jazz,0.83912
375,stoner rock,0.0795733912
376,melodic hardcore,0.027421094
377,experimental rock,0.26500251
378,turntablism,0.1282422
379,norwegian pop,0.2435726
380,minimal dub,0.188183252857
381,fourth world,0.930816326531
382,electro,0.1236679188
383,swing,0.8728
384,latin christian,0.277625646
385,dreamo,0.2097970536
386,indie jazz,0.380886
387,rock gaucho,0.28994054
388,french rock,0.384844244898
389,post-hardcore,0.0472551782
390,epicore,0.314588125
391,azontobeats,0.2764744
392,zapstep,0.021813738
393,deep chiptune,0.2863851834
394,sheffield indie,0.072176806
395,uplifting trance,0.018196714
396,noise rock,0.189365202128
397,progressive post-hardcore,0.0303659596
398,hard bop,0.88834
399,antiviral pop,0.132975793878
400,aussietronica,0.21937966
401,indie punk,0.138780682
402,death core,0.000902864583333
403,electro latino,0.178109
404,ambient,0.91293877551
405,reggae rock,0.12278485
406,country blues,0.4424332
407,anime,0.094094838
408,deep funk,0.26171206
409,new age,0.828292
410,french reggae,0.160292844444
411,j-pop,0.083714876
412,groove room,0.05665816
413,lovers rock,0.1369872
414,deep melodic euro house,0.12113533
415,death metal,0.0016182238
416,nu disco,0.118977414286
417,indie rockism,0.0403184387755
418,electro swing,0.217373653061
419,country gospel,0.4896582
420,neo classical metal,0.0517461252
421,mexican indie,0.125257204082
422,uk garage,0.127359469388
423,gothic metal,0.0186690842
424,stride,0.87194
425,industrial,0.10259421
426,canadian metal,0.018998054
427,future funk,0.6467802
428,christian uplift,0.3070916
429,brazilian gospel,0.357278354167
430,german metal,0.02998166
431,swedish indie pop,0.32996886
432,gauze pop,0.27505534
433,turkish jazz,0.38293
434,christian hip hop,0.104999714286
435,latin jazz,0.60904
436,stoner metal,0.0568012924
437,experimental,0.247514102083
438,ska,0.123453146
439,french indie pop,0.3489820625
440,deep ccm,0.16883888
441,merengue urbano,0.2808052
442,classic norwegian pop,0.360803265306
443,pub rock,0.13601253
444,memphis blues,0.60201
445,ska punk,0.081552892
446,suomi rock,0.06668203375
447,afrobeats,0.2306904
448,hyphy,0.121704183673
449,liquid funk,0.02845076
450,swedish synthpop,0.122284
451,chicago blues,0.5298386
452,drill,0.19255246
453,vaporwave,0.3877574474
454,neue deutsche harte,0.008025326
455,louvor,0.527389795918
456,world,0.562860612245
457,dub,0.1771988
458,smooth jazz,0.316074
459,drum and bass,0.0436451628
460,memphis hip hop,0.09157154
461,j-rock,0.045146116
462,new orleans blues,0.520262
463,new weird america,0.439931458333
464,german pop rock,0.24497348
465,old school hip hop,0.0882681428571
466,relaxative,0.885754
467,trova,0.6142216
468,big band,0.88274
469,hardcore punk,0.036272314
470,stomp pop,0.1445621828
471,bass music,0.24497914
472,flamenco,0.698229787234
473,indonesian indie,0.478644081633
474,comedy,0.77102
475,baroque,0.974448275862
476,viking metal,0.003120355
477,russelater,0.128544
478,djent,0.0174449538298
479,mambo,0.508544
480,acoustic blues,0.652704
481,spanish indie pop,0.285986040816
482,swedish metal,0.0037389344
483,delta blues,0.6189366
484,norwegian rock,0.3552347906
485,deep texas country,0.135683367347
486,gospel,0.1975592
487,christian relaxative,0.655442173913
488,doo-wop,0.65514
489,icelandic pop,0.42306486
490,latin metal,0.070613288
491,cowboy western,0.600042
492,piedmont blues,0.662862
493,deep swedish indie pop,0.326615638298
494,wonky,0.26042158
495,hardstyle,0.054343994
496,classical period,0.9712
